time,side,ticker_id,mv_dn_composite_labels,skew_weighted_10_df037,vola_roc_1_5_df040,normalized_3m_df004,price_to_sales_minmax_universe_df071
2006-05-10 00:00:00+00,SHORT,1011,0.3480409885351102,0.45368016,0.531475,0.8095238,0.02
2006-05-10 00:00:00+00,SHORT,3067,0.0,0.42226136,0.6972861,0.3,0.0203
2006-05-10 00:00:00+00,SHORT,1051,1.0,0.45660442,0.19211188,0.85365856,0.0205
2006-05-10 00:00:00+00,SHORT,1262,0.0,0.38516203,0.21383865,0.16666667,0.02
2006-05-10 00:00:00+00,SHORT,1960,0.3140110036307591,0.4339592,0.9804237,0.7352941,0.0052
2006-08-04 00:00:00+00,SHORT,843,0.0,0.39885697,0.676564,0.43529412,0.0076
2006-08-04 00:00:00+00,SHORT,3470,0.3788462593650333,0.3514322,0.01770051,0.3888889,0.0049
2006-08-10 00:00:00+00,SHORT,843,0.18709722261238235,0.4588832,0.41968173,0.20238096,0.0067
2006-08-31 00:00:00+00,SHORT,1960,0.875,0.3988911,0.6163648,0.82051283,0.0065
2006-09-07 00:00:00+00,SHORT,167,0.0,0.37942126,2.0404782,0.46153846,0.0076
2006-10-17 00:00:00+00,SHORT,1396,0.4854247025350663,0.38238293,1.4158998,0.82222223,0.0312
2006-11-17 00:00:00+00,SHORT,1396,0.4784196380836389,0.39611703,-0.19124542,0.35416666,0.0301
2006-11-20 00:00:00+00,SHORT,1396,0.5087375539895892,0.38986048,0.14364238,0.29166666,0.0309
2007-02-08 00:00:00+00,SHORT,2397,1.0,0.40254506,0.4458658,0.24705882,0.0048
2007-02-20 00:00:00+00,SHORT,212,1.0,0.38155678,0.9448314,0.88235295,0.005
2007-02-23 00:00:00+00,SHORT,335,0.18312544462840394,0.3717611,0.09788163,0.875,0.005
2007-02-23 00:00:00+00,SHORT,1731,0.3956613592278286,0.41649723,0.05837178,0.5208333,0.0049
2007-02-26 00:00:00+00,SHORT,2305,0.06754907049063749,0.42922306,0.24884562,0.4181818,0.0051
2007-02-26 00:00:00+00,SHORT,2617,0.18147023298703233,0.45337018,2.0132744,0.6363636,0.005
2007-02-26 00:00:00+00,SHORT,1411,0.0,0.3532607,1.0025498,0.54545456,0.005
