time,side,ticker_id,mv_dn_composite_labels,vola_roc_5_5_df040,price_drift_5_df005,joint_fall_flag_21_20_df042,accel_price_5_df021
2008-01-14 00:00:00+00,SHORT,3142,1.0,0.24160072,0.08086946,0.0,0.018456914
2008-01-15 00:00:00+00,SHORT,3918,0.0,-0.2311279,0.09044586,0.0,0.019191293
2008-01-25 00:00:00+00,SHORT,4218,0.47502434359239853,0.26397896,0.082761794,0.0,-0.01236252
2008-01-28 00:00:00+00,SHORT,4089,0.5375611864287683,-0.12143705,0.08768063,0.0,0.043753598
2008-01-29 00:00:00+00,SHORT,121,0.7754835714003588,-0.5627666,0.08242702,0.0,0.03055382
2008-01-29 00:00:00+00,SHORT,4218,0.16614558033152577,0.06928172,0.081520095,0.0,0.013833973
2008-02-01 00:00:00+00,SHORT,406,0.0,-0.38561174,0.085334286,0.0,0.030148
2008-02-01 00:00:00+00,SHORT,475,1.0,-0.35022968,0.083951704,0.0,0.031474404
2008-02-01 00:00:00+00,SHORT,714,1.0,-0.24579236,0.081381306,0.0,0.044240452
2008-02-01 00:00:00+00,SHORT,897,0.5220766243125183,0.110315904,0.08404234,0.0,0.008306919
2008-02-01 00:00:00+00,SHORT,1371,0.1321580224002165,-0.37945682,0.08571429,0.0,0.012716412
2008-02-04 00:00:00+00,SHORT,1523,0.6039124795956785,-0.28721768,0.08983051,0.0,0.004239663
2008-02-13 00:00:00+00,SHORT,3818,0.875,-0.02591529,0.08975713,0.0,0.009905198
2008-02-14 00:00:00+00,SHORT,2176,0.7250074539003838,-0.26077676,0.0836349,0.0,0.022312256
2008-02-14 00:00:00+00,SHORT,1303,0.0,-0.14927432,0.091545776,0.0,-0.005662602
2008-02-20 00:00:00+00,SHORT,2816,0.33653332331181934,-0.43614557,0.08507117,0.0,0.037806682
2008-02-26 00:00:00+00,SHORT,2670,1.0,-0.012199006,0.087989725,0.0,0.005597697
2008-02-27 00:00:00+00,SHORT,2670,0.6237740584751659,-0.024689697,0.08085382,0.0,-0.0071359077
2008-02-27 00:00:00+00,SHORT,3130,0.9444444444444444,-0.5604659,0.086563304,0.0,-0.0075044893
2008-02-27 00:00:00+00,SHORT,1748,0.21227155753085664,-0.44893923,0.082459316,0.0,-0.013481647
2008-02-27 00:00:00+00,SHORT,1967,0.0,-0.107128285,0.08835219,0.0,-0.040085316
2008-02-27 00:00:00+00,SHORT,4086,0.3709254820318974,-0.3157426,0.083919466,0.0,-0.037463263
2008-03-03 00:00:00+00,SHORT,433,0.6666666666666667,-0.39068168,0.08260403,0.0,0.01601704
2008-03-04 00:00:00+00,SHORT,2640,0.0,-0.07760574,0.08689655,0.0,-0.018103449
2008-03-17 00:00:00+00,SHORT,2619,1.0,0.25306657,0.081004456,0.0,-8.999224E-4
2008-03-17 00:00:00+00,SHORT,1807,0.7544445905535547,0.33217248,0.081853285,0.0,0.010583794
2008-03-18 00:00:00+00,SHORT,1072,0.0,-0.27563983,0.0810496,0.0,0.018629514
2008-03-19 00:00:00+00,SHORT,1939,0.0,-0.06101883,0.08703901,0.0,0.029534467
2008-03-25 00:00:00+00,SHORT,4237,0.9473684210526316,0.27249762,0.083065726,0.0,-0.008810073
2008-03-27 00:00:00+00,SHORT,2064,0.0,0.11358616,0.08206371,0.0,0.045002595
2008-03-27 00:00:00+00,SHORT,1816,0.13506974729170354,0.08101413,0.08668904,0.0,0.028584233
2008-04-04 00:00:00+00,SHORT,2119,0.0,-0.03335681,0.08409506,0.0,-0.019883236
2008-04-04 00:00:00+00,SHORT,2270,0.18195021922487553,0.35514095,0.08098039,0.0,0.017261527
2008-04-04 00:00:00+00,SHORT,2349,0.0,-0.6054833,0.088757396,0.0,0.041668355
2008-04-04 00:00:00+00,SHORT,1114,0.0,-0.2397951,0.08555555,0.0,0.00158609
2008-04-04 00:00:00+00,SHORT,3355,0.8,0.23241356,0.08504399,0.0,0.044181332
2008-04-04 00:00:00+00,SHORT,1447,0.37960690100193184,-0.38176367,0.0907781,0.0,0.03358166
2008-04-04 00:00:00+00,SHORT,3773,0.1798243804443792,-0.18614887,0.08949243,0.0,-0.008400458
2008-04-07 00:00:00+00,SHORT,843,0.2396110426452953,-0.59475744,0.08505649,0.0,0.019752923
2008-04-07 00:00:00+00,SHORT,2993,0.48984164852642703,-0.45860445,0.090034366,0.0,-0.03603401
2008-04-07 00:00:00+00,SHORT,1191,0.5535581829395407,0.11376536,0.086795665,0.0,-0.0032103576
2008-04-07 00:00:00+00,SHORT,3782,0.0,-0.513439,0.08325042,0.0,-0.044146847
2008-04-08 00:00:00+00,SHORT,960,0.47649224247206057,-0.039533325,0.09099039,0.0,-0.010172404
