time,side,ticker_id,mv_dn_composite_labels,dist_low52_vol_norm_20_df015,dist_upper_bb_20_2.0_df055,volume_spike_1_df057,vola_roc_21_5_df040
2005-03-08 00:00:00+00,SHORT,2553,0.39549922347210165,0.11689732,-0.009268634,0.3259405,0.30127037
2005-03-08 00:00:00+00,SHORT,516,0.6811871210337171,0.28606072,-0.013454327,0.14460103,0.027121942
2005-03-08 00:00:00+00,SHORT,2665,0.43644175166840465,0.24346125,-0.003362898,-0.18658088,1.0207584
2005-03-08 00:00:00+00,SHORT,2986,0.9444444444444444,0.22304592,-0.016438328,0.49647203,-0.24206302
2005-03-08 00:00:00+00,SHORT,3046,0.8397319692654984,0.13397053,-5.6967576E-4,0.35276875,0.26675907
2005-03-08 00:00:00+00,SHORT,1184,0.6176307542600878,0.2372521,-0.010124646,-0.23959938,-0.27033344
2005-03-08 00:00:00+00,SHORT,1299,0.6205477884281358,0.47312304,-0.0022559701,0.070062965,0.288751
2005-03-08 00:00:00+00,SHORT,3355,0.9333333333333333,0.27903652,-0.008559086,0.16102634,-0.07218329
2005-03-08 00:00:00+00,SHORT,3561,0.8116853111369149,0.47129193,0.004351845,-0.03536327,1.3548386
2005-03-08 00:00:00+00,SHORT,3614,0.3408105167477049,0.16677018,-0.025223818,-0.15919283,-0.077986926
2005-03-08 00:00:00+00,SHORT,1770,0.5208752502471988,0.5536554,-0.02526217,0.27364022,0.10275858
2005-03-08 00:00:00+00,SHORT,4049,0.321446421054044,0.52988225,-0.02360294,0.16045548,-0.31371576
2005-03-09 00:00:00+00,SHORT,2070,0.8171119053706654,0.38260362,-0.00551752,-0.24704441,0.7297231
2005-03-09 00:00:00+00,SHORT,2425,0.1831906726568755,0.50250363,-0.021706799,0.5873967,-0.35057333
2005-03-09 00:00:00+00,SHORT,555,0.3883534476704609,0.42437702,-0.00906218,0.58361775,0.69493514
2005-03-09 00:00:00+00,SHORT,2665,0.2956011498279958,0.25145522,-0.015282751,0.27280065,0.39370617
2005-03-09 00:00:00+00,SHORT,3046,0.5587288684459337,0.121863775,-0.00812021,0.2065472,0.51692396
2005-03-09 00:00:00+00,SHORT,1022,0.7909368410589226,0.520375,-0.018106373,-0.18880819,0.0013289491
2005-03-09 00:00:00+00,SHORT,3355,0.8666666666666667,0.2601272,-0.015839338,-0.09098892,-0.27641422
2005-03-09 00:00:00+00,SHORT,3629,0.31620780864078357,0.5908657,-0.016775178,-0.09567437,1.3583742
2005-03-10 00:00:00+00,SHORT,2536,0.5934187895236236,0.20251182,-0.021366127,-0.16400887,0.48121312
2005-03-10 00:00:00+00,SHORT,2665,0.26494977502041517,0.27826297,-0.0040949667,-0.06721623,0.07362552
2005-03-10 00:00:00+00,SHORT,2986,0.8333333333333334,0.21726458,-0.021095598,-0.10385483,-0.38179484
2005-03-10 00:00:00+00,SHORT,3046,0.5080034990103095,0.11335465,-0.0134383375,-0.23113139,-0.38271508
2005-03-10 00:00:00+00,SHORT,3561,0.3155021175685669,0.43520755,-0.026097424,0.36835608,1.0474817
2005-03-11 00:00:00+00,SHORT,4107,0.187732299591031,0.15137175,-0.015932804,0.35352144,-0.1706221
2005-03-11 00:00:00+00,SHORT,487,0.5718778406985143,0.4879344,-0.011162305,0.25102505,1.1348573
2005-03-11 00:00:00+00,SHORT,881,0.490443966199631,0.22733532,-0.023679962,0.10821906,0.76481205
2005-03-11 00:00:00+00,SHORT,3629,0.286419144094644,0.60145146,-0.016899165,-0.21740259,-0.35162166
2005-03-11 00:00:00+00,SHORT,3754,0.4858824938773693,0.2647503,-0.01466952,-0.21653543,-0.26931575
2005-03-14 00:00:00+00,SHORT,2105,0.533109434644406,0.41868278,-0.022247236,0.028455658,-0.3801372
2005-03-14 00:00:00+00,SHORT,516,0.5281120302439039,0.2664453,-0.0202283,-0.20698681,-0.3182988
2005-03-14 00:00:00+00,SHORT,641,0.1309389538158317,0.4507776,-0.0158806,-0.009259259,-0.24205516
2005-03-14 00:00:00+00,SHORT,799,1.0,0.40269515,-0.007739772,-0.17259252,0.095818415
2005-03-14 00:00:00+00,SHORT,3561,0.3041083440304717,0.43984932,-0.021095306,0.47696063,-0.14705992
2005-03-14 00:00:00+00,SHORT,3754,0.7278424712621462,0.25967652,-0.019789925,0.51399857,-0.08003632
2005-03-15 00:00:00+00,SHORT,2064,1.0,0.5294485,-0.019655593,-0.24113397,-0.3799844
2005-03-15 00:00:00+00,SHORT,2248,1.0,0.3713787,-0.020050943,-0.18099113,0.5168715
2005-03-15 00:00:00+00,SHORT,641,0.0,0.44039488,-0.018863402,0.3852879,-0.33031636
2005-03-15 00:00:00+00,SHORT,2986,0.6666666666666667,0.2084271,-0.022949418,0.4351841,-0.26092765
2005-03-16 00:00:00+00,SHORT,3244,0.5780268191115989,0.5489564,-0.008401427,-0.2402746,0.48661405
2005-03-16 00:00:00+00,SHORT,2042,0.9411764705882353,0.318741,-0.014532197,-0.13952376,-0.3829599
2005-03-17 00:00:00+00,SHORT,2072,0.17749423274739975,0.10518145,-0.02511708,0.080261596,0.7742947
2005-03-17 00:00:00+00,SHORT,2504,1.0,0.39280146,-0.022499291,0.24332978,-0.3087323
2005-03-17 00:00:00+00,SHORT,2569,0.0,0.3049595,-0.012550673,0.4409304,-0.2881051
2005-03-17 00:00:00+00,SHORT,643,0.4729324333948617,0.585895,-4.406736E-4,-0.16455568,0.47998565
2005-03-17 00:00:00+00,SHORT,3244,0.5376196365939102,0.5251488,-0.016346814,0.049698796,-0.252195
2005-03-18 00:00:00+00,SHORT,643,0.4307286622545646,0.53583884,-0.025472749,0.535476,1.1515403
2005-03-21 00:00:00+00,SHORT,3244,0.42708784464587035,0.520643,-0.022451248,0.27411842,-0.28000426
2005-03-21 00:00:00+00,SHORT,3831,0.3898553716555395,0.20618539,-0.025255373,0.15749447,0.7138831
2005-03-22 00:00:00+00,SHORT,3244,0.2918142913332203,0.5619549,-0.023286125,0.40417755,-0.12784047
2005-03-22 00:00:00+00,SHORT,3293,0.22226494094068944,0.20084368,-0.012973054,0.021756208,0.05439201
2005-03-23 00:00:00+00,SHORT,3293,0.1427886855195608,0.20033394,-0.02146036,0.17081673,0.31185347
2005-03-28 00:00:00+00,SHORT,4218,1.0,0.51564234,0.008176483,-0.015814103,0.99845487
2005-03-28 00:00:00+00,SHORT,2923,0.5960743256729517,0.19511971,-0.026090456,-0.094375886,1.1567496
2005-03-28 00:00:00+00,SHORT,3293,0.089457547184049,0.20835254,-0.021323172,0.1317376,0.016351117
2005-03-29 00:00:00+00,SHORT,4218,0.7305482191598276,0.513971,-0.0045424863,-0.18576816,1.2235346
2005-03-30 00:00:00+00,SHORT,2196,0.0,0.07412271,-0.024986204,-0.1050973,0.4526404
2005-03-30 00:00:00+00,SHORT,2923,0.6038748420173526,0.20164244,-0.023123221,-0.06774225,-0.28399926
2005-03-31 00:00:00+00,SHORT,4218,0.5796441624801975,0.49085054,-0.025535349,0.70427555,1.2695458
2005-04-01 00:00:00+00,SHORT,4107,0.5661759681405607,0.19554123,-0.021561285,0.29303914,-0.13993362
2005-04-04 00:00:00+00,SHORT,1173,0.6983908451872511,0.33782148,-0.005079767,0.19098791,1.4948016
2005-04-04 00:00:00+00,SHORT,1280,0.6986940717307935,0.08611487,0.0038237611,0.32993665,1.1884216
2005-04-05 00:00:00+00,SHORT,2230,0.33894002839362725,0.3866796,-0.024241852,-0.14310622,-0.10644402
2005-04-05 00:00:00+00,SHORT,1308,0.21055685581344497,0.5415073,-0.0033822407,-0.12917271,0.89195454
2005-04-06 00:00:00+00,SHORT,2269,0.0,0.4347518,-0.0018128408,-0.0067181466,-0.05058955
2005-04-06 00:00:00+00,SHORT,2972,0.0,0.5038845,-0.011862476,-0.096001156,-0.1724639
2005-04-06 00:00:00+00,SHORT,1173,0.4872030970201256,0.31841666,-0.017540392,-0.06990147,1.1427906
2005-04-06 00:00:00+00,SHORT,1280,0.486334925240271,0.07227579,-0.015746541,0.15379024,-0.010770978
2005-04-06 00:00:00+00,SHORT,1308,0.08911169210423346,0.4785832,-0.01606365,0.231,-0.3568478
2005-04-06 00:00:00+00,SHORT,3629,0.0,0.21760276,-0.025340818,-0.18651178,0.070506126
2005-04-07 00:00:00+00,SHORT,2230,0.22565222571863155,0.496267,-0.012941908,-0.18366191,1.7652133
2005-04-07 00:00:00+00,SHORT,2269,0.0,0.40555122,-0.010771034,-0.03918215,-0.23005463
2005-04-07 00:00:00+00,SHORT,2972,0.0,0.4933748,-0.0150495395,0.13941233,-0.22394133
2005-04-07 00:00:00+00,SHORT,1184,0.5253420189502549,0.4607819,-0.013883637,0.5453416,0.067705266
2005-04-07 00:00:00+00,SHORT,3293,0.0,0.23784184,-0.022696314,0.16641653,0.65013176
2005-04-07 00:00:00+00,SHORT,3535,1.0,0.2005419,-0.016558515,0.18745036,-0.32082832
2005-04-07 00:00:00+00,SHORT,3903,0.19636894421979645,0.4792631,-0.0013422265,-0.09863802,-0.06493664
