time,side,ticker_id,mv_dn_composite_labels,co_fall_count_1_5_df044,normalized_12m_df003,dist_upper_bb_50_2.0_df055,normalized_6m_df004
2006-05-11 00:00:00+00,SHORT,3907,0.9375,1.0,0.15555556,-0.021086596,0.3877551
2006-05-12 00:00:00+00,SHORT,2285,0.9090909090909091,1.0,0.19433199,-0.010914172,0.34375
2006-05-12 00:00:00+00,SHORT,1258,0.29534445564143436,1.0,0.708502,-0.013969023,0.5714286
2006-05-15 00:00:00+00,SHORT,2253,0.8666666666666667,1.0,0.67849225,-0.02121263,0.44444445
2006-05-16 00:00:00+00,SHORT,1715,0.6342963561368693,1.0,0.5391499,0.003385477,0.42857143
2006-05-25 00:00:00+00,SHORT,4176,0.0,1.0,0.36061946,-0.01795558,0.47619048
2006-06-01 00:00:00+00,SHORT,3501,0.551901091288047,1.0,0.5515873,-0.006279574,0.37931034
2006-06-02 00:00:00+00,SHORT,3501,0.5544717261731059,1.0,0.5498008,-0.008158657,0.4
2006-06-05 00:00:00+00,SHORT,424,0.0,1.0,0.6932271,-0.0072405175,0.6
2006-06-05 00:00:00+00,SHORT,1471,0.618412933701546,1.0,0.2868526,-0.015094737,0.22727273
2006-06-06 00:00:00+00,SHORT,2818,0.0,1.0,0.4621514,-0.009351569,0.4375
2006-06-07 00:00:00+00,SHORT,370,0.0,1.0,0.41538462,-0.013225123,0.44444445
2006-06-09 00:00:00+00,SHORT,652,0.21636509744164278,1.0,0.5877193,-0.018911771,0.40963855
2006-06-16 00:00:00+00,SHORT,3641,0.19713375026842075,1.0,0.29955947,-0.0067436146,0.23809524
2006-07-03 00:00:00+00,SHORT,1690,1.0,1.0,0.22924902,0.003957761,0.4516129
2006-07-05 00:00:00+00,SHORT,3255,0.4419904154321473,1.0,0.20866142,-0.012766327,0.28947368
2006-07-06 00:00:00+00,SHORT,3743,0.0,1.0,0.5770751,0.008439014,0.26666668
2006-07-10 00:00:00+00,SHORT,2070,0.4287724811132989,1.0,0.6035242,-0.019437497,0.41666666
2006-07-10 00:00:00+00,SHORT,3743,0.0,1.0,0.6023622,-0.004110781,0.35714287
2006-07-12 00:00:00+00,SHORT,1966,0.0,1.0,0.33112583,-0.012590418,0.47272727
2006-07-20 00:00:00+00,SHORT,1356,0.09371010543168445,1.0,0.70124483,-0.001384087,0.5405405
2006-07-24 00:00:00+00,SHORT,808,0.46620177118738965,1.0,0.80995476,-0.0012033002,0.61290324
2006-07-25 00:00:00+00,SHORT,1715,0.4662307510812475,1.0,0.793765,-0.0097489,0.525
2006-07-26 00:00:00+00,SHORT,3903,0.2151432663378576,1.0,0.47393364,-5.476835E-4,0.34285715
2006-08-01 00:00:00+00,SHORT,69,1.0,1.0,0.793722,-0.008223319,0.3125
2006-08-02 00:00:00+00,SHORT,2690,0.5903178491077097,1.0,0.19626169,-0.01603679,0.2972973
2006-08-03 00:00:00+00,SHORT,629,0.7089479314411455,1.0,0.36051503,-0.0053741103,0.2777778
2006-08-04 00:00:00+00,SHORT,2133,0.0,1.0,0.22222222,-0.014988509,0.2
2006-08-04 00:00:00+00,SHORT,629,0.46177219492258575,1.0,0.34274194,-0.004030999,0.2857143
2006-08-04 00:00:00+00,SHORT,3882,0.0,1.0,0.62096775,-0.018802997,0.42857143
2006-08-07 00:00:00+00,SHORT,629,0.7692307692307692,1.0,0.328,0.008020714,0.33333334
2006-08-08 00:00:00+00,SHORT,1615,0.4612785910999536,1.0,0.672,-0.019912165,0.5
2006-08-17 00:00:00+00,SHORT,2248,0.4803934592988092,1.0,0.36946902,-0.0061549987,0.39583334
2006-08-17 00:00:00+00,SHORT,2613,0.0,1.0,0.8047809,2.389174E-4,0.5217391
2006-08-17 00:00:00+00,SHORT,1114,0.0,1.0,0.685259,0.006854691,0.5714286
2006-08-17 00:00:00+00,SHORT,3430,0.0,1.0,0.5176991,-7.403764E-4,0.2413793
2006-08-18 00:00:00+00,SHORT,2582,0.5292158891306085,1.0,0.8627451,0.0038333475,0.5641026
2006-08-18 00:00:00+00,SHORT,3743,0.6638461225319983,1.0,0.8352941,-0.016220296,0.46666667
2006-08-21 00:00:00+00,SHORT,3824,0.8,1.0,0.18722467,-0.015718194,0.4909091
2006-08-21 00:00:00+00,SHORT,3882,0.443947351631657,1.0,0.75,0.0057717776,0.33333334
2006-08-22 00:00:00+00,SHORT,3824,0.14003784971487335,1.0,0.19469027,-0.010944789,0.44444445
2006-08-22 00:00:00+00,SHORT,3853,0.0,1.0,0.23672566,-0.0013939799,0.5185185
2006-08-22 00:00:00+00,SHORT,3882,0.2582319557012065,1.0,0.7380952,-0.020947278,0.2857143
2006-08-30 00:00:00+00,SHORT,1960,1.0,1.0,0.4642857,0.044995587,0.61538464
2006-08-31 00:00:00+00,SHORT,3343,0.0,1.0,0.4396887,-0.009381995,0.2777778
2006-08-31 00:00:00+00,SHORT,1960,0.875,1.0,0.46303502,0.027409244,0.61538464
2006-09-05 00:00:00+00,SHORT,2690,0.5568279869530791,1.0,0.14254385,-0.020758728,0.39473686
2006-09-06 00:00:00+00,SHORT,1368,1.0,1.0,0.4117647,0.011121924,0.2631579
2006-09-18 00:00:00+00,SHORT,1090,0.2848609630015136,1.0,0.37061402,0.011823741,0.29787233
2006-09-18 00:00:00+00,SHORT,3744,0.0,1.0,0.375,-0.017030448,0.43333334
2006-09-18 00:00:00+00,SHORT,1761,0.1746469130230516,1.0,0.3618421,0.004099191,0.19148937
2006-09-19 00:00:00+00,SHORT,2396,0.4283289739507664,1.0,0.62693155,-0.0162592,0.44186047
2006-09-20 00:00:00+00,SHORT,270,0.1770126476834931,1.0,0.76862746,-0.017730737,0.6111111
2006-09-20 00:00:00+00,SHORT,1360,1.0,1.0,0.8392157,0.02172513,0.5641026
2006-09-25 00:00:00+00,SHORT,2142,0.0,1.0,0.67578125,-9.380227E-4,0.35897437
2006-09-27 00:00:00+00,SHORT,2142,0.0,1.0,0.6901961,-0.012652873,0.33333334
2006-09-28 00:00:00+00,SHORT,2142,0.0,1.0,0.69411767,-0.01843826,0.33333334
2006-09-28 00:00:00+00,SHORT,2018,0.47702272389315376,1.0,0.33920705,-0.0030613341,0.33333334
2006-09-29 00:00:00+00,SHORT,444,0.0,1.0,0.6062992,-0.018193534,0.35897437
2006-09-29 00:00:00+00,SHORT,2018,0.3847102894385995,1.0,0.32456142,-0.01998486,0.33333334
2006-10-02 00:00:00+00,SHORT,3469,0.20155804817395162,1.0,0.47045952,-0.019796267,0.43529412
2006-10-03 00:00:00+00,SHORT,2396,0.6082334068820118,1.0,0.5197368,-0.019588372,0.4651163
2006-10-03 00:00:00+00,SHORT,444,0.06169936317795188,1.0,0.627451,-0.021252885,0.41666666
2006-10-03 00:00:00+00,SHORT,835,0.0,1.0,0.7872807,-0.008069532,0.5529412
2006-10-04 00:00:00+00,SHORT,835,0.0,1.0,0.76367617,-0.015626816,0.5529412
2006-10-05 00:00:00+00,SHORT,52,0.0,1.0,0.8876652,0.006589001,0.49056605
2006-10-10 00:00:00+00,SHORT,1244,1.0,1.0,0.84705883,0.014865612,0.33333334
2006-10-12 00:00:00+00,SHORT,2106,0.0,1.0,0.49802372,0.0022372734,0.44117647
2006-10-12 00:00:00+00,SHORT,1244,0.4988971967419201,1.0,0.8181818,-0.012631803,0.33333334
2006-10-12 00:00:00+00,SHORT,1356,0.44473824354176594,1.0,0.3992095,-0.02038676,0.43589744
2006-10-16 00:00:00+00,SHORT,3343,0.0,1.0,0.38976377,0.013897163,0.2777778
2006-10-16 00:00:00+00,SHORT,1356,0.41944211345152144,1.0,0.40944883,-0.006539742,0.46153846
2006-10-16 00:00:00+00,SHORT,1474,0.3405173109197559,1.0,0.8783186,-0.0035621552,0.5
2006-10-16 00:00:00+00,SHORT,3629,0.5639824383277366,1.0,0.47637796,0.0037860507,0.5483871
2006-10-16 00:00:00+00,SHORT,3853,1.0,1.0,0.21681416,-0.019838251,0.33333334
2006-10-17 00:00:00+00,SHORT,1762,0.0,1.0,0.6023622,0.017133515,0.45833334
2006-10-18 00:00:00+00,SHORT,2518,0.0,1.0,0.2016129,0.014297845,0.4375
2006-10-18 00:00:00+00,SHORT,2681,0.44549198631132736,1.0,0.5288684,-0.012618756,0.25
2006-10-18 00:00:00+00,SHORT,3286,0.0,1.0,0.14112903,-0.014092184,0.21052632
2006-10-19 00:00:00+00,SHORT,2518,0.7,1.0,0.2122449,0.03584571,0.3529412
2006-10-19 00:00:00+00,SHORT,3286,0.0,1.0,0.14112903,0.0019411449,0.21052632
2006-10-19 00:00:00+00,SHORT,1383,0.8125,1.0,0.14691943,-0.019457791,0.4047619
2006-10-19 00:00:00+00,SHORT,1762,0.0,1.0,0.6,-0.012566951,0.4090909
2006-10-19 00:00:00+00,SHORT,3918,0.2747549044828731,1.0,0.7306122,-0.010426994,0.37931034
2006-10-20 00:00:00+00,SHORT,1139,0.3447411304974584,1.0,0.5388027,0.0063068136,0.5869565
2006-10-23 00:00:00+00,SHORT,1139,0.35046381166325397,1.0,0.68988764,0.008530335,0.5869565
2006-10-24 00:00:00+00,SHORT,192,0.0,1.0,0.36363637,-0.020387387,0.5925926
2006-10-25 00:00:00+00,SHORT,405,1.0,1.0,0.60714287,0.009362151,0.525
2006-10-25 00:00:00+00,SHORT,3818,0.7561146017250342,1.0,0.17355372,-0.020109024,0.38235295
2006-10-26 00:00:00+00,SHORT,2106,0.0,1.0,0.4549356,-0.017421823,0.46875
2006-10-26 00:00:00+00,SHORT,335,0.0,1.0,0.8827751,0.028305022,0.23913044
2006-10-26 00:00:00+00,SHORT,631,0.4191553667149618,1.0,0.49785408,-0.004011814,0.59375
2006-10-26 00:00:00+00,SHORT,1780,0.5609329029803736,1.0,0.8214286,-0.0038122954,0.4
2006-10-26 00:00:00+00,SHORT,2041,0.23332982088109847,1.0,0.5,-0.001920697,0.30769232
2006-10-27 00:00:00+00,SHORT,2425,0.16611067806620675,1.0,0.6412556,-0.011145832,0.42352942
2006-10-27 00:00:00+00,SHORT,3067,0.0,1.0,0.5986547,-0.014486904,0.5714286
2006-10-30 00:00:00+00,SHORT,2425,0.1497816277878673,1.0,0.6412556,-0.008191724,0.42352942
2006-10-30 00:00:00+00,SHORT,3067,0.0,1.0,0.55479455,-0.014813966,0.54545456
2006-10-31 00:00:00+00,SHORT,76,0.0,1.0,0.19534884,-0.018171718,0.4716981
2006-11-01 00:00:00+00,SHORT,3513,0.38260079599853836,1.0,0.516129,-0.019649273,0.53846157
2006-11-06 00:00:00+00,SHORT,1615,0.15092519897545437,1.0,0.37448558,-0.0010764644,0.3
2006-11-07 00:00:00+00,SHORT,739,0.0,1.0,0.31120333,0.009770029,0.6
2006-11-07 00:00:00+00,SHORT,1615,0.1496310534773883,1.0,0.37448558,-0.009058695,0.3
2006-11-08 00:00:00+00,SHORT,1615,0.0,1.0,0.5625,-0.017583786,0.36842105
2006-11-10 00:00:00+00,SHORT,3233,0.0,1.0,0.24395604,-0.007685636,0.22857143
2006-11-14 00:00:00+00,SHORT,938,0.8162930815149195,1.0,0.31349206,-0.020616181,0.3030303
2006-11-16 00:00:00+00,SHORT,602,0.559575885515436,1.0,0.6431718,0.009266989,0.3488372
2006-11-17 00:00:00+00,SHORT,602,0.45397214936023644,1.0,0.6405229,0.004874477,0.3372093
2006-11-20 00:00:00+00,SHORT,3677,0.0,1.0,0.5472441,-0.017694887,0.4
2006-11-20 00:00:00+00,SHORT,3837,0.0,1.0,0.12992126,0.020531913,0.6
2006-11-21 00:00:00+00,SHORT,68,0.1442274621620663,1.0,0.29102844,-0.014248777,0.46296296
2006-11-22 00:00:00+00,SHORT,68,0.19116992889270326,1.0,0.29166666,-0.0027705035,0.5
2006-11-22 00:00:00+00,SHORT,602,0.2674619554246468,1.0,0.60087717,-0.016352776,0.39534885
2006-11-29 00:00:00+00,SHORT,3286,0.0,1.0,0.12598425,-0.011684513,0.1904762
2006-11-30 00:00:00+00,SHORT,2686,0.12604746498670125,1.0,0.5207878,-0.016192196,0.42592594
