time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,ma_cloud_diff_13_100_df007,joint_fall_flag_21_20_df042,price_drift_21_df005
2005-10-03 00:00:00+00,SHORT,3471,1.0,-0.0043521062,0.13315855,0.0,0.15257657
2005-10-03 00:00:00+00,SHORT,1532,1.0,0.006314524,0.13575494,0.0,0.061999008
2005-10-03 00:00:00+00,SHORT,4062,0.2604219469703543,-0.0027386742,0.13062261,0.0,0.06396917
2005-10-04 00:00:00+00,SHORT,91,1.0,-0.006699264,0.05066379,0.0,0.067073174
2005-10-04 00:00:00+00,SHORT,93,0.46559073133151685,-0.0039643287,0.0063546705,0.0,0.108949415
2005-10-04 00:00:00+00,SHORT,780,1.0,-0.01586393,0.05634738,0.0,0.078782454
2005-10-04 00:00:00+00,SHORT,3241,0.0,-0.0071927635,0.07180452,0.0,0.08996971
2005-10-04 00:00:00+00,SHORT,3903,0.15030394506542374,-0.0131169,0.05995611,0.0,0.08623644
2005-10-14 00:00:00+00,SHORT,1473,0.4041815199241302,-0.012945437,0.07057844,0.0,0.06556837
2005-10-17 00:00:00+00,SHORT,1803,0.5358972140818143,-0.016676111,0.092643596,0.0,0.07906296
2005-10-19 00:00:00+00,SHORT,1191,0.0,-0.017502801,0.04362601,0.0,0.14437677
2005-10-24 00:00:00+00,SHORT,3244,0.3687661242730742,-0.007316392,0.068324134,0.0,0.09416118
2005-10-24 00:00:00+00,SHORT,3343,0.0,-0.0048433035,0.052927457,0.0,0.10672211
2005-10-24 00:00:00+00,SHORT,3501,0.04337747849279204,-0.015508039,0.029574595,0.0,0.07852194
2005-10-27 00:00:00+00,SHORT,4050,0.3805403839932924,-0.0152903395,0.090865865,0.0,0.1470276
2005-11-02 00:00:00+00,SHORT,3310,0.0,-0.003927378,0.02411422,0.0,0.1402965
2005-11-03 00:00:00+00,SHORT,2196,0.14990815891824077,3.2590053E-4,0.038128372,0.0,0.06093929
2005-11-08 00:00:00+00,SHORT,1790,0.32989826628732005,-0.009565273,0.060385782,0.0,0.07874565
2005-11-09 00:00:00+00,SHORT,710,0.33642895144459917,-0.0030436378,0.10916787,0.0,0.15636513
2005-11-17 00:00:00+00,SHORT,4215,0.9166666666666666,-0.010165745,0.027448034,0.0,0.06285147
2005-11-18 00:00:00+00,SHORT,4215,0.8333333333333334,-0.018958883,0.029722434,0.0,0.05918537
2005-11-21 00:00:00+00,SHORT,2554,0.44729306943481045,-0.012038768,0.036671404,0.0,0.11774823
2005-11-22 00:00:00+00,SHORT,3912,0.4968246089976102,-0.0076438286,0.066529855,0.0,0.079713084
2005-11-25 00:00:00+00,SHORT,121,0.2117068362444819,-0.013829033,0.0826089,0.0,0.08456693
2005-11-25 00:00:00+00,SHORT,907,0.5479394894283638,-0.013171125,3.6192732E-4,0.0,0.08867858
2005-11-28 00:00:00+00,SHORT,3309,0.0,-0.007011676,0.07362905,0.0,0.08510037
2005-11-29 00:00:00+00,SHORT,2557,0.0,-0.019495377,0.014709313,0.0,0.13670412
2005-11-29 00:00:00+00,SHORT,3309,0.0,-0.011481826,0.07731521,0.0,0.09870757
2005-12-02 00:00:00+00,SHORT,19,0.3763331751861506,-0.011217325,0.107150085,0.0,0.13759145
2005-12-02 00:00:00+00,SHORT,903,0.5960192588142917,-0.0020476796,0.054651245,0.0,0.10257681
2005-12-05 00:00:00+00,SHORT,903,0.3558346942933454,-0.015797073,0.058020853,0.0,0.09448429
2005-12-06 00:00:00+00,SHORT,796,1.0,-0.017667992,0.08326334,0.0,0.07338731
2005-12-06 00:00:00+00,SHORT,903,0.3429536210782243,-0.014034773,0.06266421,0.0,0.11281924
2005-12-06 00:00:00+00,SHORT,3607,0.474875280637674,-0.016854333,0.1275774,0.0,0.058865756
2005-12-06 00:00:00+00,SHORT,1867,0.0,-0.016339187,0.029837426,0.0,0.14545031
2005-12-09 00:00:00+00,SHORT,3607,0.16245225388876655,-0.012363799,0.12615803,0.0,0.062164098
2005-12-13 00:00:00+00,SHORT,243,0.2892270352918167,-0.016214658,-0.0012748446,0.0,0.114612296
2005-12-14 00:00:00+00,SHORT,243,0.23359293582537782,-0.011036553,0.002634049,0.0,0.13529412
2005-12-14 00:00:00+00,SHORT,2582,0.0,-0.011643051,0.023454344,0.0,0.12620352
2005-12-14 00:00:00+00,SHORT,3586,0.5004520658705018,-0.014183527,0.04491898,0.0,0.08286176
2005-12-16 00:00:00+00,SHORT,1090,0.0,-0.01615019,0.03702103,0.0,0.14333233
2005-12-16 00:00:00+00,SHORT,1235,0.5676695915744582,-0.012206104,0.043699957,0.0,0.09488372
2005-12-29 00:00:00+00,SHORT,559,0.0,-0.010780888,0.10972356,0.0,0.07730184
2006-01-03 00:00:00+00,SHORT,559,0.0,-0.010967848,0.1105901,0.0,0.07164236
2006-01-04 00:00:00+00,SHORT,3838,0.6572552599700084,-0.018332722,0.028833544,0.0,0.08915344
2006-01-05 00:00:00+00,SHORT,2396,0.07748582933668298,-0.004457154,0.10048569,0.0,0.07196819
2006-01-06 00:00:00+00,SHORT,405,0.8396667998144538,-0.005641263,0.0500012,0.0,0.09295416
2006-01-06 00:00:00+00,SHORT,588,0.0,-0.0085708145,0.13555342,0.0,0.12631579
2006-01-06 00:00:00+00,SHORT,3203,1.0,-0.0062518944,0.015640195,0.0,0.095755
2006-01-06 00:00:00+00,SHORT,1967,0.14559746373647175,-0.0093359575,0.14586289,0.0,0.08057851
2006-01-09 00:00:00+00,SHORT,19,0.0,-0.012200949,0.06897803,0.0,0.06277562
2006-01-09 00:00:00+00,SHORT,405,0.6742810326173506,-0.017996786,0.05181244,0.0,0.095391214
2006-01-09 00:00:00+00,SHORT,1762,0.0,-0.0021699115,0.07596041,0.0,0.10021743
2006-01-09 00:00:00+00,SHORT,1967,0.06500517645725648,-0.014429628,0.14754672,0.0,0.08806903
2006-01-10 00:00:00+00,SHORT,2230,0.38894570671880085,-0.005807062,0.06479605,0.0,0.1492572
2006-01-10 00:00:00+00,SHORT,2557,0.5624944867269864,0.0038114192,0.061219994,0.0,0.11360124
2006-01-10 00:00:00+00,SHORT,3473,0.17768242467481396,-0.0053194277,0.04906498,0.0,0.070767656
2006-01-11 00:00:00+00,SHORT,2230,0.3539430481928154,-0.00968435,0.069373876,0.0,0.14100346
2006-01-11 00:00:00+00,SHORT,2993,0.6714105214134006,-0.009880496,0.015852295,0.0,0.09678212
2006-01-11 00:00:00+00,SHORT,3078,0.0,-0.010846293,0.06965556,0.0,0.071619816
2006-01-11 00:00:00+00,SHORT,1303,0.6987280047145138,-0.016868478,0.027232736,0.0,0.06576291
