time,side,ticker_id,mv_up_composite_labels,joint_fall_flag_5_20_df042,skew_weighted_10_df037,velocity_price_univ_zscore_5_df048,weighted_neg_sum_10_df036,price_drift_21_df005
2006-06-14 00:00:00+00,LONG,974,0.0,0.0,-0.47261393,3.2574792,0.11938366,-0.12969041
2006-06-14 00:00:00+00,LONG,984,0.9836065573770492,0.0,-0.40620145,-0.8922037,0.1656889,-0.17541353
2006-06-14 00:00:00+00,LONG,3124,0.7966130737191123,0.0,-0.5508478,-1.2803617,0.12865376,-0.15050524
2006-06-14 00:00:00+00,LONG,3241,0.6112698445642428,0.0,-0.5410801,-4.9493365,0.12953931,-0.118560106
2006-06-14 00:00:00+00,LONG,3330,0.9583333333333334,0.0,-0.5588903,-1.507025,0.103472225,-0.10904348
2006-06-14 00:00:00+00,LONG,1967,0.6457976428980368,0.0,-0.6059285,-2.5935118,0.12648892,-0.12324378
2006-06-15 00:00:00+00,LONG,4215,0.5790797716816127,0.0,-0.40354955,0.29012063,0.1031419,-0.14032331
2006-06-15 00:00:00+00,LONG,2272,0.0,0.0,-0.45936033,-3.5112734,0.17780398,-0.13346419
2006-06-15 00:00:00+00,LONG,2568,0.0,0.0,-0.4042649,1.2746118,0.13064978,-0.17515923
2006-06-15 00:00:00+00,LONG,2990,0.9523809523809523,0.0,-0.5217399,-0.8741806,0.15037672,-0.09649014
2006-06-15 00:00:00+00,LONG,1051,0.5443895924510582,0.0,-0.503343,0.041620467,0.1300092,-0.11795419
2006-06-16 00:00:00+00,LONG,2568,0.0,0.0,-0.4306115,0.27765054,0.13925982,-0.14930326
2006-06-16 00:00:00+00,LONG,1051,0.5142114190371826,0.0,-0.5281365,-0.6887887,0.1390972,-0.09715639
2006-06-19 00:00:00+00,LONG,2272,0.0,0.0,-0.55251706,-2.2464151,0.17434911,-0.13497087
2006-06-21 00:00:00+00,LONG,3825,0.0,0.0,-0.5880351,-1.6060995,0.084804565,-0.13986014
2006-07-10 00:00:00+00,LONG,3684,0.09395744965640357,0.0,-0.4579235,-0.7769145,0.13922359,-0.103020914
2006-07-24 00:00:00+00,LONG,4224,0.622134977235006,0.0,-0.44660896,-2.4511518,0.09431322,-0.096425354
2006-07-26 00:00:00+00,LONG,64,1.0,0.0,-0.50037265,-3.5643606,0.08896839,-0.12381884
