time,side,ticker_id,mv_up_composite_labels,ma_cloud_diff_8_50_df007,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-01-20 00:00:00+00,LONG,1819,0.21209997134373262,-0.016005,-0.029273355,0.0
2005-01-20 00:00:00+00,LONG,3868,0.0,-0.01313129,-0.031332757,0.0
2005-01-20 00:00:00+00,LONG,3994,0.9555555555555556,-0.04418827,0.03055711,0.0
2005-01-20 00:00:00+00,LONG,4049,0.5045801708479738,-0.06871874,-0.015608415,0.0
2005-01-21 00:00:00+00,LONG,2119,0.31719148994336627,-0.038409468,-0.022733416,0.0
2005-01-21 00:00:00+00,LONG,4237,0.40994040903292933,-0.024917021,-0.020954218,0.0
2005-01-21 00:00:00+00,LONG,2253,1.0,-0.042320125,0.013837157,0.0
2005-01-21 00:00:00+00,LONG,309,0.8478260869565217,-0.034934636,-0.023811838,0.0
2005-01-21 00:00:00+00,LONG,465,0.49963568557187615,-0.019912187,-0.020441122,0.0
2005-01-21 00:00:00+00,LONG,2751,0.0,-0.022861822,-0.008917486,0.0
2005-01-21 00:00:00+00,LONG,2778,0.4247106262299831,-0.045628186,-0.028988082,0.0
2005-01-21 00:00:00+00,LONG,862,0.5844190675665234,-0.031181382,-0.022826044,0.0
2005-01-21 00:00:00+00,LONG,869,0.7777777777777778,-0.017364565,-0.029868063,0.0
2005-01-21 00:00:00+00,LONG,937,0.24976585279855346,-0.023518834,-0.019764446,0.0
2005-01-21 00:00:00+00,LONG,988,1.0,-0.035023715,-0.006499681,0.0
2005-01-21 00:00:00+00,LONG,3065,0.0,-0.010704121,-0.028178046,0.0
2005-01-21 00:00:00+00,LONG,1184,0.44424876376100164,-0.011737306,-0.029904902,0.0
2005-01-21 00:00:00+00,LONG,1410,0.2694326672949331,-0.03193598,0.012526248,0.0
2005-01-21 00:00:00+00,LONG,1585,0.41108593514674635,-0.03744916,-0.013297901,0.0
2005-01-21 00:00:00+00,LONG,1615,0.0,-0.052917223,-0.0031845814,0.0
2005-01-21 00:00:00+00,LONG,3716,0.23498129306631124,-0.027300444,-6.3435145E-4,0.0
2005-01-21 00:00:00+00,LONG,1700,0.0,-0.07561401,-0.023371393,0.0
2005-01-21 00:00:00+00,LONG,3815,0.8536585365853658,-0.048266873,-0.018777126,0.0
2005-01-21 00:00:00+00,LONG,3831,0.42826350323015583,-0.017674642,-0.016085247,0.0
2005-01-21 00:00:00+00,LONG,3841,0.0,-0.0122229615,-0.025788255,0.0
2005-01-21 00:00:00+00,LONG,1819,0.234241359245745,-0.012163349,-0.024423704,0.0
2005-01-21 00:00:00+00,LONG,3868,0.0,-0.01375397,-0.03146276,0.0
2005-01-21 00:00:00+00,LONG,3994,0.9333333333333333,-0.052670524,0.012513421,0.0
2005-01-21 00:00:00+00,LONG,4049,0.5049518244394939,-0.06955661,-0.021575639,0.0
2005-01-24 00:00:00+00,LONG,1,0.0,-0.056336224,0.008758622,0.0
2005-01-24 00:00:00+00,LONG,4237,0.3257656741469902,-0.024291925,-0.013271646,0.0
2005-01-24 00:00:00+00,LONG,183,0.0,-0.044196382,0.030865856,0.0
2005-01-24 00:00:00+00,LONG,2253,0.9827586206896551,-0.04545703,0.010958352,0.0
2005-01-24 00:00:00+00,LONG,234,1.0,-0.058036804,-0.011918162,0.0
2005-01-24 00:00:00+00,LONG,2305,0.6468040836494974,-0.031596314,-0.0140498215,0.0
2005-01-24 00:00:00+00,LONG,270,0.0,-0.050732385,-0.029548299,0.0
2005-01-24 00:00:00+00,LONG,309,0.0,-0.032672457,-0.00979049,0.0
2005-01-24 00:00:00+00,LONG,465,0.43731918831008826,-0.019869693,-0.019608093,0.0
2005-01-24 00:00:00+00,LONG,2567,0.0,-0.05226476,0.05249287,0.0
2005-01-24 00:00:00+00,LONG,2751,0.0,-0.020801358,-0.023123411,0.0
2005-01-24 00:00:00+00,LONG,2778,0.4347965613127948,-0.045011353,-0.013675204,0.0
2005-01-24 00:00:00+00,LONG,2877,1.0,-0.012701197,-0.0029718368,0.0
2005-01-24 00:00:00+00,LONG,862,0.6181107662337338,-0.03217438,-0.02008939,0.0
2005-01-24 00:00:00+00,LONG,2990,1.0,-0.046571523,0.004892857,0.0
2005-01-24 00:00:00+00,LONG,974,0.6454227800553827,-0.014195437,-0.0038460882,0.0
2005-01-24 00:00:00+00,LONG,988,0.9827586206896551,-0.040903255,-0.017995637,0.0
