time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,delta_volume_21_df024,skew_weighted_10_df037
2005-09-30 00:00:00+00,SHORT,1404,0.10594864679475416,-0.030588793,40800.0,0.7574201
2005-09-30 00:00:00+00,SHORT,4086,1.0,-0.019302456,-23500.0,0.7452401
2005-10-03 00:00:00+00,SHORT,562,0.35772387394192895,-0.017578771,-155000.0,0.7334598
2005-10-03 00:00:00+00,SHORT,3114,0.7774963464060076,-0.0042856336,321679.0,0.85457337
2005-10-03 00:00:00+00,SHORT,4086,0.4869873235117358,-0.027997375,-13800.0,0.723047
2005-10-04 00:00:00+00,SHORT,91,1.0,-0.006699264,1170000.0,0.8477332
2005-10-04 00:00:00+00,SHORT,4224,1.0,-0.014936256,207553.0,0.73150843
2005-10-04 00:00:00+00,SHORT,2396,0.21581443418102775,-0.016246688,302700.0,0.74102855
2005-10-04 00:00:00+00,SHORT,2473,0.6476868761749428,-0.025183903,399900.0,0.71404505
2005-10-04 00:00:00+00,SHORT,602,0.9523809523809523,-0.03455153,-194552.0,0.8165816
2005-10-04 00:00:00+00,SHORT,791,0.44143711571989197,-0.004635478,1487100.0,0.8227717
2005-10-04 00:00:00+00,SHORT,1250,0.2101552158800214,-0.029392147,1197200.0,0.8244755
2005-10-05 00:00:00+00,SHORT,424,1.0,-0.060735855,27500.0,0.8266406
2005-10-05 00:00:00+00,SHORT,3199,0.0,-0.06273856,121400.0,0.7138854
2005-10-05 00:00:00+00,SHORT,3903,0.0,-0.028330022,1598400.0,0.73023087
2005-10-10 00:00:00+00,SHORT,2747,0.12860727997162646,-0.029326962,716000.0,0.7377908
2005-10-24 00:00:00+00,SHORT,3501,0.04337747849279204,-0.015508039,257400.0,0.7218796
2005-10-25 00:00:00+00,SHORT,153,1.0,-0.049899306,1157080.0,0.70369935
2005-11-03 00:00:00+00,SHORT,2569,0.0,-0.01748576,-70800.0,0.79860896
2005-11-03 00:00:00+00,SHORT,523,0.0,-0.012397317,175300.0,0.703364
2005-11-03 00:00:00+00,SHORT,1423,0.41900097425395916,-0.07151106,1520956.0,0.69630736
2005-11-07 00:00:00+00,SHORT,2568,0.0889693139997537,-0.026432008,-134200.0,0.73635286
2005-11-07 00:00:00+00,SHORT,1368,0.0,-3.253866E-4,376647.0,0.7077504
2005-11-09 00:00:00+00,SHORT,1368,0.0,-0.05292526,844033.0,0.806815
2005-11-10 00:00:00+00,SHORT,2175,0.041302455856481644,-0.031835,1352500.0,0.6958685
2005-11-10 00:00:00+00,SHORT,1368,0.0,-0.07614328,57056.0,0.69846064
2005-11-10 00:00:00+00,SHORT,2018,0.5117900587837445,-0.061570052,553768.0,0.79062
2005-11-11 00:00:00+00,SHORT,710,0.273672514471132,-0.04886435,64200.0,0.7802837
2005-11-14 00:00:00+00,SHORT,710,0.23787727152908344,-0.06372804,746000.0,0.7097289
2005-11-14 00:00:00+00,SHORT,2776,0.6226196658904672,-0.027824612,329400.0,0.7663814
2005-11-15 00:00:00+00,SHORT,617,0.3905023275309097,-0.038290225,-163800.0,0.78625757
2005-11-21 00:00:00+00,SHORT,3255,0.7439308004958591,-0.02170553,-160600.0,0.85816073
2005-11-22 00:00:00+00,SHORT,1700,0.0,-0.018488057,413310.0,0.81736577
2005-11-22 00:00:00+00,SHORT,1807,0.03989918301540451,-0.047310304,1260900.0,0.80787915
2005-11-23 00:00:00+00,SHORT,2330,0.2754650314624344,-0.06284735,629900.0,0.72259843
2005-11-23 00:00:00+00,SHORT,2923,1.0,-0.028203519,74351.0,0.85276616
2005-11-28 00:00:00+00,SHORT,3309,0.0,-0.007011676,81000.0,0.73132545
2005-11-29 00:00:00+00,SHORT,3309,0.0,-0.011481826,9800.0,0.7559507
2005-12-01 00:00:00+00,SHORT,2815,0.3712860895645602,-0.051968675,1732300.0,0.7726385
2005-12-02 00:00:00+00,SHORT,588,0.15189822580745158,0.008121937,189600.0,0.7103803
2005-12-05 00:00:00+00,SHORT,588,0.02689735753530236,-0.024414305,-129600.0,0.791965
2005-12-06 00:00:00+00,SHORT,588,0.0,-0.063853376,-49200.0,0.7887524
2005-12-06 00:00:00+00,SHORT,862,0.39660285825089114,-0.02404992,204000.0,0.7403423
2005-12-06 00:00:00+00,SHORT,903,0.3429536210782243,-0.014034773,1941500.0,0.8237837
2005-12-07 00:00:00+00,SHORT,157,1.0,-0.026391644,189200.0,0.6960797
2005-12-09 00:00:00+00,SHORT,1615,0.0,-0.04553118,519750.0,0.73339474
2005-12-12 00:00:00+00,SHORT,713,0.6463299835264111,-0.0234613,171200.0,0.79319596
2005-12-13 00:00:00+00,SHORT,2816,0.0,-0.036316708,-4000.0,0.775012
2005-12-13 00:00:00+00,SHORT,1173,0.29797398907909656,-0.032603174,1252900.0,0.7769727
2005-12-13 00:00:00+00,SHORT,1615,0.0,-0.06608109,417690.0,0.7079688
2005-12-14 00:00:00+00,SHORT,2582,0.0,-0.011643051,355814.0,0.8513371
2005-12-14 00:00:00+00,SHORT,2638,0.49819328624187564,-0.027174765,91400.0,0.75126445
2005-12-14 00:00:00+00,SHORT,1173,0.2203135379287504,-0.027529228,12400.0,0.8264747
2006-01-05 00:00:00+00,SHORT,3179,0.7629626183983198,-0.02727903,-38800.0,0.79623544
2006-01-06 00:00:00+00,SHORT,3179,0.731314074929761,-0.027330428,-43400.0,0.8029957
2006-01-06 00:00:00+00,SHORT,3203,1.0,-0.0062518944,-173480.0,0.7043067
2006-01-06 00:00:00+00,SHORT,4016,1.0,-0.0013549962,255580.0,0.78488624
2006-01-09 00:00:00+00,SHORT,323,0.6511488241208354,-0.065211475,1434450.0,0.86315495
2006-01-11 00:00:00+00,SHORT,2437,0.324811578198072,-0.020764958,-159200.0,0.7581099
2006-01-11 00:00:00+00,SHORT,516,0.09158997025879478,-0.006360277,613116.0,0.7549682
2006-01-11 00:00:00+00,SHORT,3078,0.0,-0.010846293,423344.0,0.707213
2006-01-11 00:00:00+00,SHORT,3127,0.16154701543700692,0.0103315925,382200.0,0.7689765
2006-01-11 00:00:00+00,SHORT,1090,1.0,0.0060327426,1696000.0,0.71128476
2006-01-11 00:00:00+00,SHORT,3794,0.0,-0.014898653,751856.0,0.8008668
2006-01-12 00:00:00+00,SHORT,13,0.0,0.0065222955,410600.0,0.78627604
2006-01-12 00:00:00+00,SHORT,2638,0.0,-0.047515966,-100000.0,0.73826236
2006-01-12 00:00:00+00,SHORT,3794,0.0,-0.02666299,141620.0,0.7769248
2006-01-13 00:00:00+00,SHORT,13,0.0,-0.009630736,116000.0,0.81753796
2006-01-17 00:00:00+00,SHORT,13,0.0,-0.020457763,38900.0,0.8127656
2006-01-27 00:00:00+00,SHORT,602,0.8189514667770158,0.0032566027,150655.0,0.7722653
2006-01-30 00:00:00+00,SHORT,602,0.564690117404397,-0.009034719,147798.0,0.8276396
2006-01-31 00:00:00+00,SHORT,602,0.5275654560891259,-0.011971994,249879.0,0.8458196
2006-01-31 00:00:00+00,SHORT,1423,0.16177053684786494,-0.043240096,427784.0,0.7156124
2006-02-01 00:00:00+00,SHORT,4171,0.0,-0.029295309,286062.0,0.74017924
2006-02-01 00:00:00+00,SHORT,2125,0.6357181587399848,-0.020414723,1482000.0,0.81858766
2006-02-01 00:00:00+00,SHORT,450,0.2679225701685926,-0.01222137,311556.0,0.7469663
2006-02-01 00:00:00+00,SHORT,2504,0.15125062797025113,0.025364965,995550.0,0.80746543
2006-02-01 00:00:00+00,SHORT,602,0.4983411451898997,-0.036055744,159226.0,0.72083247
2006-02-01 00:00:00+00,SHORT,1176,0.0,-0.022810891,724800.0,0.70917565
2006-02-01 00:00:00+00,SHORT,1423,0.0,-0.043930817,1001500.0,0.71684194
2006-02-01 00:00:00+00,SHORT,4086,1.0,-0.03260222,-31600.0,0.7286966
2006-02-02 00:00:00+00,SHORT,602,0.5559436716163811,-0.047972694,364688.0,0.796972
2006-02-02 00:00:00+00,SHORT,3286,0.0,-0.06804646,1345400.0,0.7766598
2006-02-02 00:00:00+00,SHORT,1610,0.9473684210526316,-0.04098611,108600.0,0.7748139
2006-02-02 00:00:00+00,SHORT,1807,0.8333333333333334,-0.0757441,155800.0,0.7355636
2006-02-03 00:00:00+00,SHORT,2504,0.0,-0.008886268,219450.0,0.72767895
2006-02-03 00:00:00+00,SHORT,602,0.428765684187783,-0.05135117,83899.0,0.7745637
2006-02-03 00:00:00+00,SHORT,1939,1.0,-0.05798918,71754.0,0.85545015
2006-02-06 00:00:00+00,SHORT,602,0.5714285714285714,-0.056897707,-52210.0,0.77605987
2006-02-06 00:00:00+00,SHORT,838,0.0,-0.047375772,56600.0,0.76246864
2006-02-06 00:00:00+00,SHORT,1462,0.42083923331671375,-0.05122673,814000.0,0.69189054
2006-02-16 00:00:00+00,SHORT,3994,0.44241480297880914,-0.030109828,-5600.0,0.83583623
2006-02-17 00:00:00+00,SHORT,1195,0.0,-0.009371493,-8069.0,0.7937412
2006-02-22 00:00:00+00,SHORT,443,0.0,-0.03562623,335000.0,0.82564884
2006-02-22 00:00:00+00,SHORT,773,0.0,-0.07056999,-96400.0,0.7238627
2006-02-22 00:00:00+00,SHORT,3882,0.20187325408233828,-0.031768728,32000.0,0.69816536
2006-02-23 00:00:00+00,SHORT,1195,0.0,-0.0647549,-179939.0,0.70294195
2006-02-24 00:00:00+00,SHORT,3286,0.0,-0.017987844,165800.0,0.7464596
2006-02-27 00:00:00+00,SHORT,2818,0.0,-0.0694625,453200.0,0.82904214
2006-02-27 00:00:00+00,SHORT,845,0.2930669089341288,-0.020153044,65600.0,0.79954916
2006-02-28 00:00:00+00,SHORT,4034,0.9230769230769231,-0.043378506,1160000.0,0.79069465
2006-03-01 00:00:00+00,SHORT,4034,0.8461538461538461,-0.04851723,987630.0,0.76791614
2006-03-02 00:00:00+00,SHORT,3703,0.0,-0.05623734,358400.0,0.80186915
2006-03-02 00:00:00+00,SHORT,4034,1.0,-0.06987627,616520.0,0.73642707
2006-03-03 00:00:00+00,SHORT,4137,0.0,-0.018313581,789700.0,0.7109649
2006-03-03 00:00:00+00,SHORT,1423,0.5322331538772438,-0.034731235,483034.0,0.7378968
2006-03-14 00:00:00+00,SHORT,3203,0.0,-0.024548285,18699.0,0.7068134
2006-03-14 00:00:00+00,SHORT,1790,0.0,-0.06846256,392800.0,0.727827
2006-03-16 00:00:00+00,SHORT,4016,0.24838938745035277,-0.04728155,768936.0,0.7339411
2006-03-17 00:00:00+00,SHORT,3539,0.31764157948023436,-0.017700454,694000.0,0.7052343
2006-03-20 00:00:00+00,SHORT,2504,0.2709061776111755,-0.019168826,-4800.0,0.8166335
2006-03-21 00:00:00+00,SHORT,675,0.3502396524388281,-0.014982039,822330.0,0.7113267
2006-03-21 00:00:00+00,SHORT,3124,0.599836005794618,-0.0058099166,64500.0,0.8293664
2006-03-22 00:00:00+00,SHORT,2050,0.0,-0.04197191,-227400.0,0.75402534
2006-03-22 00:00:00+00,SHORT,2343,0.41630227710960443,-0.015404351,186960.0,0.8033707
2006-03-22 00:00:00+00,SHORT,3124,0.48676800499939615,-0.04914556,52100.0,0.74881685
2006-03-22 00:00:00+00,SHORT,3127,0.22065970567597123,0.00555988,447600.0,0.8050047
2006-03-23 00:00:00+00,SHORT,1303,0.6542338901943808,-0.026534954,1220632.0,0.73981893
2006-03-23 00:00:00+00,SHORT,3748,0.0,-0.004379413,988600.0,0.74253786
2006-03-24 00:00:00+00,SHORT,517,0.08605647908760067,-0.041972425,72100.0,0.73665434
2006-03-24 00:00:00+00,SHORT,914,0.19670129613874687,-0.021675736,1740000.0,0.7197474
2006-03-24 00:00:00+00,SHORT,1356,0.3194338349511216,-0.002914684,1339200.0,0.8465971
2006-03-27 00:00:00+00,SHORT,2226,0.0,-0.029456928,-159900.0,0.7898163
2006-03-27 00:00:00+00,SHORT,1356,0.32851915433829537,-0.018335652,1884000.0,0.79690635
2006-03-29 00:00:00+00,SHORT,2999,0.680065050872031,-0.004167636,190300.0,0.81147444
2006-03-31 00:00:00+00,SHORT,2999,0.6420493373824687,-0.023737047,-10400.0,0.72486514
2006-03-31 00:00:00+00,SHORT,1297,0.324617360116782,-0.008315179,625360.0,0.79212976
2006-04-03 00:00:00+00,SHORT,3286,0.7711314042179561,-0.021905309,455600.0,0.75288695
2006-04-11 00:00:00+00,SHORT,786,1.0,-0.048036136,462784.0,0.7382372
2006-04-12 00:00:00+00,SHORT,786,0.9375,-0.05338335,-48346.0,0.73237026
2006-04-19 00:00:00+00,SHORT,535,1.0,-0.0011921644,18200.0,0.7669415
2006-04-25 00:00:00+00,SHORT,1396,1.0,-0.03218707,464.0,0.7353835
2006-04-25 00:00:00+00,SHORT,3677,0.0,-0.050172187,745376.0,0.82080734
2006-04-26 00:00:00+00,SHORT,142,1.0,0.005452282,1290600.0,0.85992897
2006-04-26 00:00:00+00,SHORT,4062,1.0,-0.030016892,684200.0,0.75986874
2006-04-27 00:00:00+00,SHORT,3861,0.39709857974556106,0.02039585,231296.0,0.8130986
2006-04-28 00:00:00+00,SHORT,834,0.5493352907632287,-0.0244402,-226900.0,0.80039775
2006-05-02 00:00:00+00,SHORT,457,0.6032716197878029,0.004074831,2268.0,0.73948765
2006-05-03 00:00:00+00,SHORT,1108,0.586660164146963,-0.02807083,69200.0,0.7051242
2006-05-04 00:00:00+00,SHORT,2032,0.6816475779844293,-0.029821396,967700.0,0.8298175
2006-05-05 00:00:00+00,SHORT,2343,0.4673638698625359,-0.008312915,27368.0,0.76806545
2006-05-05 00:00:00+00,SHORT,2582,1.0,-0.01412806,14754.0,0.7152642
2006-05-05 00:00:00+00,SHORT,934,1.0,-0.015246543,-9700.0,0.6972438
2006-05-05 00:00:00+00,SHORT,3109,1.0,0.008245662,4100.0,0.8254497
2006-05-05 00:00:00+00,SHORT,3702,1.0,-0.02302853,1444383.0,0.7355164
