time,side,ticker_id,mv_dn_composite_labels,dist_lower_bb_20_2.5_df055,price_drift_1_df005,dist_upper_bb_50_2.5_df055
2005-04-12 00:00:00+00,SHORT,1250,0.0,-0.0924817,0.0055152853,-0.014968646
2005-04-12 00:00:00+00,SHORT,1308,0.09392814775842913,-0.039624006,0.0089567965,-0.017061196
2005-04-12 00:00:00+00,SHORT,1710,0.5279492928089448,-0.05102083,-0.0029440627,-0.022072535
2005-04-12 00:00:00+00,SHORT,3890,0.27432635172440073,-0.06411266,-0.0012444002,-0.0093149245
2005-04-12 00:00:00+00,SHORT,3903,0.07406830518648892,-0.11753477,-1.0287007E-4,-0.023539787
2005-04-13 00:00:00+00,SHORT,2269,0.0,-0.055007115,-0.0025760748,-0.01458809
2005-04-13 00:00:00+00,SHORT,3052,0.24627944340282562,-0.06977545,-0.0018202503,-7.0726406E-4
2005-04-13 00:00:00+00,SHORT,1141,0.4773567617132243,-0.1418571,0.0150956055,-0.018333085
2005-04-13 00:00:00+00,SHORT,1308,0.18496058659067982,-0.03674767,-0.002610966,-0.019899132
2005-04-13 00:00:00+00,SHORT,3890,0.25816014724537895,-0.060495928,-0.0024919014,-0.012800546
2005-04-14 00:00:00+00,SHORT,3890,0.20194840648880089,-0.052034702,-0.006744941,-0.020014782
2005-04-15 00:00:00+00,SHORT,3890,0.17867559232649954,-0.049990255,-0.0012575453,-0.020907946
2005-04-19 00:00:00+00,SHORT,3052,0.04174451459750906,-0.04344804,0.002334812,-0.02384492
2005-04-19 00:00:00+00,SHORT,3890,0.23913707021027214,-0.048486393,0.007339914,-0.018715965
2005-04-21 00:00:00+00,SHORT,2747,1.0,-0.107683696,0.009787378,-0.0037472302
2005-04-22 00:00:00+00,SHORT,2747,0.8888888888888888,-0.09968856,-0.007352941,-0.011903645
2005-04-25 00:00:00+00,SHORT,2747,0.7777777777777778,-0.09113956,-0.0055555557,-0.01822945
2005-04-25 00:00:00+00,SHORT,3052,0.02687279388033292,-0.03589133,0.008924378,-0.023297103
2005-04-25 00:00:00+00,SHORT,1631,0.0,-0.1805813,-0.006068268,0.0031200151
2005-04-25 00:00:00+00,SHORT,1826,0.13215131846005645,-0.10243795,0.015128968,-0.02231057
2005-04-26 00:00:00+00,SHORT,2116,0.3308319827270729,-0.13903104,0.0020311442,-0.013670488
2005-04-26 00:00:00+00,SHORT,2747,0.6666666666666667,-0.093441084,0.0064330455,-0.013450746
2005-04-26 00:00:00+00,SHORT,1631,0.0,-0.17736432,-2.543882E-4,-0.0033215855
2005-04-27 00:00:00+00,SHORT,2747,0.5555555555555556,-0.075943425,-0.009251472,-0.023283005
2005-05-02 00:00:00+00,SHORT,2116,0.17696866180675738,-0.13055192,0.009459459,-0.01275095
2005-05-02 00:00:00+00,SHORT,2961,0.211696337351469,-0.121291995,0.0030981067,0.009966945
2005-05-02 00:00:00+00,SHORT,1361,0.3712758493109771,-0.124985866,0.0016161617,0.008124047
2005-05-04 00:00:00+00,SHORT,405,0.8847062333874375,-0.120390214,0.009861049,-0.0109784845
2005-05-04 00:00:00+00,SHORT,2527,0.0,-0.06575903,0.014816967,-0.018894155
2005-05-04 00:00:00+00,SHORT,558,0.601188259337888,-0.06300163,0.0011342155,-0.0049779466
2005-05-04 00:00:00+00,SHORT,2961,0.22333624918725187,-0.121091254,0.015706806,0.001694752
2005-05-04 00:00:00+00,SHORT,1361,0.35297435559813267,-0.117220215,0.008574638,-0.0033948757
2005-05-05 00:00:00+00,SHORT,405,0.507199996588221,-0.101358436,-0.0084332,-0.02389727
2005-05-05 00:00:00+00,SHORT,1167,0.13944711867456913,-0.06631224,0.0034065656,-0.012728494
2005-05-05 00:00:00+00,SHORT,1361,0.19008917476280035,-0.10489932,-0.008501738,-0.014391271
2005-05-06 00:00:00+00,SHORT,2961,0.06549439098085622,-0.09913645,0.0012216405,-0.016852759
2005-05-06 00:00:00+00,SHORT,1167,0.09554073349765636,-0.062415782,-0.0030560847,-0.017473867
2005-05-06 00:00:00+00,SHORT,1361,0.1302487285622532,-0.09080914,-0.0051031243,-0.021681612
2005-05-09 00:00:00+00,SHORT,3052,0.0,-0.04502603,0.011764706,-0.02030809
2005-05-09 00:00:00+00,SHORT,3882,0.0,-0.19503263,0.0067491564,-0.021973306
2005-05-10 00:00:00+00,SHORT,835,0.0,-0.054298464,-0.004435602,-0.015927117
2005-05-10 00:00:00+00,SHORT,3116,0.0,-0.1824043,-0.0033860046,-0.023084318
2005-05-10 00:00:00+00,SHORT,1826,0.0,-0.14145163,-0.006405694,-0.0069347387
