time,side,ticker_id,mv_dn_composite_labels,skew_weighted_20_df037,dist_upper_bb_20_2.5_df055
2006-01-19 00:00:00+00,SHORT,427,1.0,0.3100717,-0.007823419
2006-01-19 00:00:00+00,SHORT,1383,0.0,0.44109735,0.0013306707
2006-01-26 00:00:00+00,SHORT,3794,0.0,0.43927693,-0.008612033
2006-01-27 00:00:00+00,SHORT,2066,0.4740164437001669,0.44509566,-0.0022729782
2006-01-27 00:00:00+00,SHORT,475,0.33185074345267757,0.300586,-0.009991173
2006-01-27 00:00:00+00,SHORT,602,0.8189514667770158,0.4325638,0.0032566027
2006-01-27 00:00:00+00,SHORT,664,0.26670743036269284,0.28846538,0.006873231
2006-01-27 00:00:00+00,SHORT,1474,0.19522682436390498,0.46352974,-0.011719797
2006-01-27 00:00:00+00,SHORT,3531,0.5913949333582947,0.4997679,0.020074474
2006-01-30 00:00:00+00,SHORT,2613,0.4358422361377652,0.48022512,0.021972407
2006-01-30 00:00:00+00,SHORT,602,0.564690117404397,0.42493445,-0.009034719
2006-01-30 00:00:00+00,SHORT,1532,0.3869171023978957,0.5670355,0.004921795
2006-01-30 00:00:00+00,SHORT,3641,0.45718507437257044,0.32868558,-0.008347621
2006-01-31 00:00:00+00,SHORT,2125,1.0,0.55695975,-1.609272E-4
2006-01-31 00:00:00+00,SHORT,131,0.14236047436499508,0.286317,-0.00848246
2006-01-31 00:00:00+00,SHORT,2619,1.0,0.41456836,0.0015559308
2006-01-31 00:00:00+00,SHORT,602,0.5275654560891259,0.500292,-0.011971994
2006-01-31 00:00:00+00,SHORT,773,1.0,0.47897255,0.016767723
2006-01-31 00:00:00+00,SHORT,843,0.07195554583157283,0.40682122,-0.012103144
2006-01-31 00:00:00+00,SHORT,2896,0.4207641580533378,0.49520624,3.003865E-4
2006-01-31 00:00:00+00,SHORT,1176,0.04869327715668867,0.51638025,0.037812095
2006-01-31 00:00:00+00,SHORT,3501,0.5712552954783446,0.4198937,-0.005777685
2006-01-31 00:00:00+00,SHORT,1532,0.3742180025631687,0.5691792,0.0069713914
2006-02-01 00:00:00+00,SHORT,2619,0.9166666666666666,0.28156638,-0.007554006
2006-02-01 00:00:00+00,SHORT,773,0.9411764705882353,0.37715903,-0.0086154165
2006-02-01 00:00:00+00,SHORT,1869,0.7375582099907911,0.5958523,0.026527151
2006-02-02 00:00:00+00,SHORT,3078,0.3053211264320574,0.31493524,0.0014864726
2006-02-02 00:00:00+00,SHORT,4088,0.6776250224379782,0.35807872,-0.011823879
2006-02-06 00:00:00+00,SHORT,559,0.45846891705784387,0.6327691,-0.009417548
2006-02-06 00:00:00+00,SHORT,3233,0.3857387513236355,0.30383924,-0.004482429
2006-02-08 00:00:00+00,SHORT,1297,0.0,0.46242228,-0.006398006
