time,side,ticker_id,mv_up_composite_labels,dist_lower_bb_20_2.0_df055,dist_lower_bb_50_2.0_df055,joint_fall_flag_5_20_df042
2005-02-23 00:00:00+00,LONG,3287,0.8181818181818181,-0.052048203,-0.014379745,0.0
2005-02-24 00:00:00+00,LONG,2070,0.0,-0.038681403,-0.017950257,0.0
2005-02-24 00:00:00+00,LONG,2504,0.0,-0.031412628,-0.0087193735,0.0
2005-02-24 00:00:00+00,LONG,3287,0.7954545454545454,-0.05863535,-0.020791598,0.0
2005-02-25 00:00:00+00,LONG,2070,0.0,-0.03705563,-0.019436482,0.0
2005-02-25 00:00:00+00,LONG,135,0.8979591836734694,-0.067288324,-0.011716083,0.0
2005-02-25 00:00:00+00,LONG,2504,0.0,-0.035666663,-0.011205671,0.0
2005-02-28 00:00:00+00,LONG,2070,0.0,-0.02507604,-0.013187814,0.0
2005-02-28 00:00:00+00,LONG,135,0.8775510204081632,-0.067360796,-0.010864075,0.0
2005-02-28 00:00:00+00,LONG,3652,0.0,-0.049322214,-0.009153186,0.0
2005-03-01 00:00:00+00,LONG,135,0.8571428571428572,-0.06413026,-0.013757981,0.0
2005-03-17 00:00:00+00,LONG,1149,0.8558468260774047,-0.019678446,-0.008567028,0.0
2005-03-18 00:00:00+00,LONG,1149,0.7206427213612344,-0.03530065,-0.019839404,0.0
2005-03-21 00:00:00+00,LONG,1916,0.8571428571428572,-0.022531679,-0.015184095,0.0
2005-03-22 00:00:00+00,LONG,4197,0.35185501303793837,-0.022239858,-0.0112531455,0.0
2005-03-22 00:00:00+00,LONG,2247,0.6654010951231587,-0.026444187,-0.012671729,0.0
2005-03-22 00:00:00+00,LONG,1745,0.32299140533683096,-0.020381154,-0.020964215,0.0
2005-03-22 00:00:00+00,LONG,1916,0.8095238095238095,-0.021410318,-0.013523737,0.0
2005-03-23 00:00:00+00,LONG,4197,0.33898568260138773,-0.020612735,-0.009738162,0.0
2005-03-23 00:00:00+00,LONG,1745,0.3114802370826576,-0.013474074,-0.01735649,0.0
