time,side,ticker_id,mv_dn_composite_labels,dist_upper_bb_20_2.5_df055,weighted_neg_sum_20_df036
2006-01-12 00:00:00+00,SHORT,183,0.881731093561648,-0.0035228035,0.08362769
2006-01-13 00:00:00+00,SHORT,2497,1.0,0.033257604,0.18135366
2006-01-19 00:00:00+00,SHORT,1383,0.0,0.0013306707,0.051019568
2006-01-27 00:00:00+00,SHORT,2066,0.4740164437001669,-0.0022729782,0.06032672
2006-01-27 00:00:00+00,SHORT,602,0.8189514667770158,0.0032566027,0.06299874
2006-01-27 00:00:00+00,SHORT,664,0.26670743036269284,0.006873231,0.07616781
2006-01-27 00:00:00+00,SHORT,3531,0.5913949333582947,0.020074474,0.11177272
2006-01-30 00:00:00+00,SHORT,2613,0.4358422361377652,0.021972407,0.15281534
2006-01-30 00:00:00+00,SHORT,975,0.2565826708892137,-0.0017719993,0.07173194
2006-01-30 00:00:00+00,SHORT,1532,0.3869171023978957,0.004921795,0.07332293
2006-01-31 00:00:00+00,SHORT,2125,1.0,-1.609272E-4,0.09225749
2006-01-31 00:00:00+00,SHORT,2619,1.0,0.0015559308,0.106902376
2006-01-31 00:00:00+00,SHORT,773,1.0,0.016767723,0.060504247
2006-01-31 00:00:00+00,SHORT,2896,0.4207641580533378,3.003865E-4,0.106337115
2006-01-31 00:00:00+00,SHORT,1176,0.04869327715668867,0.037812095,0.118671015
2006-01-31 00:00:00+00,SHORT,3501,0.5712552954783446,-0.005777685,0.046525672
2006-01-31 00:00:00+00,SHORT,1532,0.3742180025631687,0.0069713914,0.07332293
2006-02-01 00:00:00+00,SHORT,2504,0.15125062797025113,0.025364965,0.19629967
2006-02-01 00:00:00+00,SHORT,1869,0.7375582099907911,0.026527151,0.10648522
2006-02-02 00:00:00+00,SHORT,3078,0.3053211264320574,0.0014864726,0.08350439
2006-02-06 00:00:00+00,SHORT,3233,0.3857387513236355,-0.004482429,0.1356184
2006-02-06 00:00:00+00,SHORT,1949,0.4910484775393386,0.0032141304,0.082499295
2006-02-15 00:00:00+00,SHORT,2661,0.0,-9.686093E-4,0.077795945
2006-02-16 00:00:00+00,SHORT,2716,0.0,0.01921285,0.13058034
2006-02-16 00:00:00+00,SHORT,1988,1.0,7.245395E-4,0.0824483
2006-02-17 00:00:00+00,SHORT,2742,0.0,-0.0034835995,0.1252747
2006-02-17 00:00:00+00,SHORT,869,0.0,-0.0035538208,0.09424579
2006-02-17 00:00:00+00,SHORT,3744,1.0,0.010251309,0.09210006
2006-02-17 00:00:00+00,SHORT,3882,0.5348669445245489,0.026485408,0.093441494
2006-02-22 00:00:00+00,SHORT,2248,0.4889008943378846,-0.0020924285,0.08408914
2006-02-22 00:00:00+00,SHORT,796,1.0,-0.0037605471,0.1392573
2006-02-27 00:00:00+00,SHORT,780,1.0,-0.0028206466,0.11710308
2006-02-27 00:00:00+00,SHORT,1631,0.3603787156986702,-0.0038230242,0.1230333
2006-02-27 00:00:00+00,SHORT,4034,1.0,0.0010437191,0.15705647
2006-02-28 00:00:00+00,SHORT,2568,0.0,-0.0035141243,0.10799362
2006-03-02 00:00:00+00,SHORT,76,0.1484520340952302,-0.004475126,0.20418234
2006-03-02 00:00:00+00,SHORT,3352,0.0,-0.004069449,0.12785047
2006-03-07 00:00:00+00,SHORT,1108,0.587040353542918,0.0021560844,0.07936996
2006-03-15 00:00:00+00,SHORT,559,0.0,0.004260341,0.065352485
2006-03-16 00:00:00+00,SHORT,3539,0.34502807585537854,0.005288876,0.046554215
2006-03-17 00:00:00+00,SHORT,557,0.8,2.8722236E-4,0.16366121
2006-03-17 00:00:00+00,SHORT,934,0.24111746803955172,0.016151423,0.093332805
2006-03-20 00:00:00+00,SHORT,85,0.3706800075057167,0.018510485,0.07368684
2006-03-20 00:00:00+00,SHORT,1853,0.31319988836353463,-0.0030137342,0.08193059
2006-03-22 00:00:00+00,SHORT,3127,0.22065970567597123,0.00555988,0.13002527
2006-03-22 00:00:00+00,SHORT,3192,0.0,0.017408181,0.07753038
2006-03-22 00:00:00+00,SHORT,1303,0.7930369898173947,-0.005482064,0.06184597
2006-03-23 00:00:00+00,SHORT,3748,0.0,-0.004379413,0.096471556
2006-03-23 00:00:00+00,SHORT,3818,0.5877372145290988,-0.0049241846,0.06302667
2006-03-24 00:00:00+00,SHORT,558,1.0,-0.0037472243,0.054414
2006-03-24 00:00:00+00,SHORT,1356,0.3194338349511216,-0.002914684,0.047720376
2006-03-27 00:00:00+00,SHORT,1360,0.0,0.026275318,0.20208208
2006-03-28 00:00:00+00,SHORT,1444,0.6967554590503519,1.13190625E-4,0.038868606
2006-03-29 00:00:00+00,SHORT,167,1.0,0.0033464166,0.09984018
2006-03-29 00:00:00+00,SHORT,2999,0.680065050872031,-0.004167636,0.02795011
2006-03-31 00:00:00+00,SHORT,1444,0.6704414196622354,-0.003250564,0.045263235
2006-04-04 00:00:00+00,SHORT,3610,0.6153374812887393,0.008298671,0.17887896
2006-04-05 00:00:00+00,SHORT,1051,0.0,-0.0049861246,0.062268354
2006-04-06 00:00:00+00,SHORT,11,0.0,0.0025875003,0.1774445
2006-04-06 00:00:00+00,SHORT,220,1.0,0.008106515,0.06986339
2006-04-07 00:00:00+00,SHORT,1011,0.894992477909567,-0.0018768274,0.099029996
2006-04-18 00:00:00+00,SHORT,836,0.5556631102312777,0.006473927,0.036421437
2006-04-19 00:00:00+00,SHORT,2085,1.0,0.009878486,0.07948237
2006-04-19 00:00:00+00,SHORT,153,1.0,-0.005361634,0.08286191
2006-04-19 00:00:00+00,SHORT,535,1.0,-0.0011921644,0.06790098
2006-04-19 00:00:00+00,SHORT,2690,0.45640811050335295,-0.0043465374,0.07997529
2006-04-19 00:00:00+00,SHORT,1280,1.0,0.0035400023,0.08932885
2006-04-20 00:00:00+00,SHORT,248,1.0,0.024716161,0.063447535
2006-04-20 00:00:00+00,SHORT,1988,0.42608771276203755,0.0063415635,0.07128542
2006-04-21 00:00:00+00,SHORT,1770,0.41293632104545425,0.0037924491,0.08112793
2006-04-25 00:00:00+00,SHORT,2548,0.6537547639451712,-0.0015388116,0.062007405
2006-04-26 00:00:00+00,SHORT,142,1.0,0.005452282,0.03655611
2006-04-26 00:00:00+00,SHORT,3861,0.5751958285809159,0.03332842,0.1273019
2006-04-27 00:00:00+00,SHORT,2863,1.0,-0.0050078644,0.04368023
2006-04-27 00:00:00+00,SHORT,3861,0.39709857974556106,0.02039585,0.1273019
2006-04-28 00:00:00+00,SHORT,562,0.34711746317194336,-0.0046337554,0.057769537
2006-05-01 00:00:00+00,SHORT,1108,0.7615569452898553,0.0061608786,0.08181283
2006-05-02 00:00:00+00,SHORT,457,0.6032716197878029,0.004074831,0.03281232
2006-05-02 00:00:00+00,SHORT,1473,1.0,-0.0052728937,0.08685264
2006-05-03 00:00:00+00,SHORT,2032,0.7108027600858678,0.014975303,0.05297467
2006-05-05 00:00:00+00,SHORT,3109,1.0,0.008245662,0.045287196
2006-05-05 00:00:00+00,SHORT,3203,0.8411384219986103,-0.0021345678,0.04949988
2006-05-05 00:00:00+00,SHORT,3436,0.5775228184083582,0.0028819346,0.04381066
2006-05-05 00:00:00+00,SHORT,1410,0.523405006846559,-0.0012257067,0.10168068
2006-05-05 00:00:00+00,SHORT,3703,1.0,0.028020188,0.124364965
2006-05-05 00:00:00+00,SHORT,1719,1.0,0.0125522325,0.08144946
2006-05-08 00:00:00+00,SHORT,3436,0.5411228636121768,-4.2549372E-4,0.04023923
2006-05-09 00:00:00+00,SHORT,9,0.5372456087633902,-0.005140817,0.13955985
2006-05-09 00:00:00+00,SHORT,270,0.75284229166523,-0.0031692784,0.06673723
2006-05-09 00:00:00+00,SHORT,1462,0.7810497531165805,-9.125956E-4,0.06666029
2006-05-10 00:00:00+00,SHORT,2936,0.39345817296541596,-0.003846461,0.083005466
2006-05-11 00:00:00+00,SHORT,335,1.0,-0.001927203,0.12476397
2006-05-11 00:00:00+00,SHORT,845,1.0,-0.001931185,0.11680485
2006-05-15 00:00:00+00,SHORT,4194,0.0,-0.0035301463,0.17625155
2006-05-18 00:00:00+00,SHORT,2527,0.08015604694307644,-9.4705774E-4,0.076516956
2006-05-26 00:00:00+00,SHORT,1377,0.5368634128463131,-0.003468929,0.09959792
2006-05-31 00:00:00+00,SHORT,1262,0.3022733296230049,0.004872906,0.09608139
2006-06-01 00:00:00+00,SHORT,2396,0.7708797249141024,0.002464917,0.0608552
2006-06-02 00:00:00+00,SHORT,4197,0.7987924898242705,0.006986409,0.057209387
2006-06-02 00:00:00+00,SHORT,2276,0.5507174549947591,-0.002854331,0.06866049
2006-06-02 00:00:00+00,SHORT,791,0.0,-0.0023484004,0.09152318
2006-06-02 00:00:00+00,SHORT,842,0.5548197164743429,-0.002727497,0.05815859
2006-06-02 00:00:00+00,SHORT,2983,1.0,-0.003435284,0.04369061
2006-06-05 00:00:00+00,SHORT,3684,1.0,-0.0039832573,0.049757842
2006-06-14 00:00:00+00,SHORT,4153,1.0,0.0044284496,0.1509917
2006-06-30 00:00:00+00,SHORT,2365,0.35510083790478486,0.0056307693,0.08620965
2006-06-30 00:00:00+00,SHORT,3124,0.6407403335764376,0.006043575,0.19007747
