time,side,ticker_id,mv_dn_composite_labels,ma_cloud_diff_8_50_df007,earnings_drift_10_df011
2007-12-12 00:00:00+00,SHORT,2742,1.0,-0.02381006,0.1084375
2007-12-14 00:00:00+00,SHORT,2323,0.0,-0.02342704,0.22300981
2007-12-14 00:00:00+00,SHORT,2742,0.6666666666666667,-0.0022600947,0.0959375
2008-02-05 00:00:00+00,SHORT,1939,0.0,0.08005034,0.12245055
2008-02-07 00:00:00+00,SHORT,5,1.0,-0.035776325,0.112716764
2008-02-08 00:00:00+00,SHORT,5,0.9411764705882353,-0.012764428,0.09609827
2008-02-11 00:00:00+00,SHORT,5,0.8823529411764706,0.009719588,0.091763005
2008-02-11 00:00:00+00,SHORT,984,0.0,0.014897375,0.1016029
2008-02-11 00:00:00+00,SHORT,3078,0.0,0.017037297,0.16569391
2008-02-12 00:00:00+00,SHORT,3078,0.0,0.03161748,0.14559014
2008-02-13 00:00:00+00,SHORT,5,0.9333333333333333,0.032947812,0.10693642
2008-02-13 00:00:00+00,SHORT,988,1.0,-0.013629238,0.20286739
2008-02-13 00:00:00+00,SHORT,3078,0.0,0.04488527,0.153048
2008-02-14 00:00:00+00,SHORT,167,1.0,0.040845312,0.12583223
2008-02-14 00:00:00+00,SHORT,988,0.8888888888888888,-0.0020608897,0.17240143
2008-02-14 00:00:00+00,SHORT,3078,0.0,0.05356697,0.13553827
2008-02-28 00:00:00+00,SHORT,3838,1.0,0.003447067,0.1595244
2008-02-29 00:00:00+00,SHORT,3838,0.36727119570983136,0.015326942,0.107257865
2008-03-03 00:00:00+00,SHORT,3838,0.35005527995322583,0.026461212,0.10378994
2008-03-24 00:00:00+00,SHORT,3773,0.0,0.016615337,0.19702971
2008-03-25 00:00:00+00,SHORT,3773,0.1479797918613509,0.036632724,0.18564357
2008-03-26 00:00:00+00,SHORT,3773,0.0,0.043741602,0.11782178
2008-05-02 00:00:00+00,SHORT,2327,0.1880253746098595,0.04181684,0.1417657
2008-05-05 00:00:00+00,SHORT,2327,0.0,0.053237036,0.13752122
2008-05-06 00:00:00+00,SHORT,2327,0.12525659958550606,0.059261035,0.13497454
2008-05-14 00:00:00+00,SHORT,857,0.6647455622315682,0.07362193,0.15926893
2008-05-15 00:00:00+00,SHORT,157,0.0,0.022701155,0.09205867
2008-05-15 00:00:00+00,SHORT,2993,0.0,-0.020141976,0.10983103
2008-05-16 00:00:00+00,SHORT,2993,1.0,-0.021993063,0.13056836
2008-05-19 00:00:00+00,SHORT,2993,0.9090909090909091,-0.020271236,0.0952381
2008-05-20 00:00:00+00,SHORT,3861,0.8571428571428572,-0.0031603712,0.09159569
2008-05-20 00:00:00+00,SHORT,4005,0.8911049187814534,0.08107288,0.25249425
2008-05-21 00:00:00+00,SHORT,2569,0.3578767292530355,0.061445106,0.13973194
2008-05-22 00:00:00+00,SHORT,2569,0.42971670856722277,0.07500232,0.13949536
2008-05-22 00:00:00+00,SHORT,1437,1.0,0.03634104,0.10405872
2008-05-23 00:00:00+00,SHORT,2569,0.6460596943191376,0.08290522,0.11608938
2008-07-23 00:00:00+00,SHORT,3612,0.4470947502710825,0.04807054,0.10427679
2008-08-05 00:00:00+00,SHORT,1762,0.0,0.004062317,0.1389102
2008-08-07 00:00:00+00,SHORT,4237,0.0,-0.025193542,0.09736932
2008-08-08 00:00:00+00,SHORT,4237,0.8333333333333334,-0.0016177527,0.09326956
2008-08-11 00:00:00+00,SHORT,4237,0.6666666666666667,0.019751996,0.1206013
2008-08-11 00:00:00+00,SHORT,221,1.0,0.0041123903,0.26403326
2008-08-11 00:00:00+00,SHORT,2553,0.0,0.009174531,0.10563085
2008-08-11 00:00:00+00,SHORT,2760,1.0,0.045275602,0.1317512
2008-08-11 00:00:00+00,SHORT,836,1.0,0.052290894,0.11355932
2008-08-11 00:00:00+00,SHORT,960,0.0,0.07797331,0.17472667
2008-08-11 00:00:00+00,SHORT,1719,1.0,0.01012873,0.16770834
2008-08-11 00:00:00+00,SHORT,3802,1.0,0.055923205,0.120415986
2008-08-11 00:00:00+00,SHORT,1762,1.0,0.06832594,0.1914812
2008-08-11 00:00:00+00,SHORT,1816,0.0,0.054443486,0.12387744
2008-08-11 00:00:00+00,SHORT,1897,0.7597650138652203,0.022953037,0.2046606
2008-08-11 00:00:00+00,SHORT,1910,0.5895217755210432,0.093858466,0.09534478
2008-08-12 00:00:00+00,SHORT,2518,1.0,0.08035087,0.16666667
2008-08-12 00:00:00+00,SHORT,2760,0.8888888888888888,0.056472797,0.09648255
2008-08-12 00:00:00+00,SHORT,918,0.0,0.06139757,0.0926276
2008-08-12 00:00:00+00,SHORT,1303,1.0,-0.029232517,0.10209924
2008-08-12 00:00:00+00,SHORT,1719,1.0,0.028956555,0.16041666
2008-08-12 00:00:00+00,SHORT,1762,0.0,0.08560173,0.12880532
2008-08-12 00:00:00+00,SHORT,3825,1.0,0.042139642,0.13875917
2008-08-12 00:00:00+00,SHORT,1816,0.0,0.06575728,0.09376651
2008-08-12 00:00:00+00,SHORT,1897,1.0,0.036934696,0.10536981
2008-08-13 00:00:00+00,SHORT,2305,1.0,0.032799922,0.16935238
2008-08-13 00:00:00+00,SHORT,309,1.0,-0.015654022,0.10574578
2008-08-13 00:00:00+00,SHORT,2518,0.0,0.0905858,0.09324895
2008-08-13 00:00:00+00,SHORT,2543,1.0,0.010151569,0.0970912
2008-08-13 00:00:00+00,SHORT,1303,0.8571428571428572,-0.016801616,0.091603056
2008-08-13 00:00:00+00,SHORT,3782,0.9473684210526316,-0.027895937,0.18345746
