time,side,ticker_id,mv_up_composite_labels,dist_low52_vol_norm_60_df015,dist_lower_bb_50_2.0_df055
2005-10-07 00:00:00+00,LONG,516,0.8123481403738276,0.11467897,-0.0045386343
2005-10-12 00:00:00+00,LONG,3046,0.5942969989634834,0.13337508,-0.016054332
2005-10-13 00:00:00+00,LONG,4237,0.5732761262146763,0.11826519,0.009452767
2005-10-13 00:00:00+00,LONG,2351,0.843732497932462,0.14981851,-0.025805024
2005-10-13 00:00:00+00,LONG,370,1.0,0.124229774,-0.013599713
2005-10-13 00:00:00+00,LONG,516,0.7142857142857143,0.113551125,-0.01975066
2005-10-13 00:00:00+00,LONG,3046,0.9818181818181818,0.1249312,-0.0103854975
2005-10-13 00:00:00+00,LONG,3187,0.3918219750180463,0.12053536,0.018382028
2005-10-13 00:00:00+00,LONG,1514,0.7826174882150282,0.112265974,0.011125925
2005-10-13 00:00:00+00,LONG,3782,1.0,0.11370486,0.011738207
2005-10-14 00:00:00+00,LONG,2085,0.0,0.13874023,0.00625509
2005-10-14 00:00:00+00,LONG,4237,0.5442793712477404,0.11983598,-0.006774659
2005-10-14 00:00:00+00,LONG,3187,0.3579328725444557,0.12075538,0.007927456
2005-10-14 00:00:00+00,LONG,1514,0.6418541597941203,0.12137028,-0.0081484215
2005-10-17 00:00:00+00,LONG,4237,0.5002342752221887,0.12394696,-0.017437026
2005-10-17 00:00:00+00,LONG,799,0.6607987527764005,0.13190666,-0.018748803
2005-10-17 00:00:00+00,LONG,3046,0.9454545454545454,0.14684539,-0.024430316
2005-10-17 00:00:00+00,LONG,3187,0.3451276505349768,0.13584152,-0.012967923
2005-10-17 00:00:00+00,LONG,3539,0.8020677139911058,0.111361735,5.5032386E-4
2005-10-17 00:00:00+00,LONG,1514,0.0,0.12763779,-0.02176292
2005-10-18 00:00:00+00,LONG,2085,0.0,0.11020888,0.010578555
2005-10-18 00:00:00+00,LONG,799,0.39459401507269615,0.12030906,-0.013519671
2005-10-18 00:00:00+00,LONG,3046,0.5105768090187841,0.14793733,-0.022264939
2005-10-18 00:00:00+00,LONG,3187,0.34685091774546545,0.118948705,-0.0018108682
2005-10-18 00:00:00+00,LONG,3539,0.9772727272727273,0.12846227,-0.0043905736
2005-10-18 00:00:00+00,LONG,1514,0.0,0.123664886,-0.01775692
2005-10-19 00:00:00+00,LONG,2085,0.0,0.15243725,-0.023461169
2005-10-19 00:00:00+00,LONG,799,0.3559767418027892,0.1430516,-0.024221152
2005-10-19 00:00:00+00,LONG,1288,0.0,0.139121,-0.025328
2005-10-20 00:00:00+00,LONG,2351,0.7391304347826086,0.15344848,-0.022580493
2005-10-20 00:00:00+00,LONG,370,0.9056603773584906,0.12590992,-0.021950515
2005-10-20 00:00:00+00,LONG,799,0.3446048056534174,0.11556816,-0.011785919
2005-10-20 00:00:00+00,LONG,1288,0.0,0.13396926,-0.016807524
2005-10-20 00:00:00+00,LONG,3539,0.69671324864458,0.14196526,-0.012940523
2005-10-20 00:00:00+00,LONG,1514,0.5814582041527668,0.1292472,-0.023339672
2005-10-21 00:00:00+00,LONG,195,0.3059118770439473,0.14262891,0.0056531588
2005-10-21 00:00:00+00,LONG,2643,0.9636363636363636,0.11193797,-0.015798554
2005-10-21 00:00:00+00,LONG,799,0.3131092884933215,0.12594672,-0.017039048
2005-10-24 00:00:00+00,LONG,195,0.0,0.1408437,-0.023890898
2005-10-25 00:00:00+00,LONG,799,0.40537116889650643,0.13822313,-0.023191182
2005-10-25 00:00:00+00,LONG,1967,0.6959633299905912,0.14850098,-0.011065637
2005-10-26 00:00:00+00,LONG,1967,0.6563561435540132,0.13266121,-0.016310684
2005-10-27 00:00:00+00,LONG,195,0.16541424297888802,0.110741496,-0.009847483
2005-10-27 00:00:00+00,LONG,243,0.24395993763206442,0.13883795,-0.0066051427
2005-10-27 00:00:00+00,LONG,3794,0.9310344827586207,0.14815147,-2.1499353E-4
2005-10-27 00:00:00+00,LONG,3824,0.7777777777777778,0.12690173,-0.0042171734
2005-10-27 00:00:00+00,LONG,1967,0.6326713676829252,0.13708279,-0.015163424
2005-10-28 00:00:00+00,LONG,3124,0.8123707346742147,0.1432435,0.0014178556
2005-10-28 00:00:00+00,LONG,3794,0.9137931034482758,0.1378454,-0.004875906
2005-10-28 00:00:00+00,LONG,4005,1.0,0.12462582,0.010965331
2005-10-28 00:00:00+00,LONG,1967,0.6506743371408855,0.1484821,-0.018602068
2005-10-31 00:00:00+00,LONG,3137,1.0,0.118573844,-0.022695802
2005-10-31 00:00:00+00,LONG,3794,0.896551724137931,0.14181723,-0.015858693
2005-10-31 00:00:00+00,LONG,4005,0.6508095854285162,0.13265118,-0.013181449
2005-11-01 00:00:00+00,LONG,3137,1.0,0.11480668,-0.017871592
2005-11-02 00:00:00+00,LONG,2247,1.0,0.11083226,-0.010963995
2005-11-03 00:00:00+00,LONG,2247,0.975609756097561,0.1270418,-0.018716829
2005-11-03 00:00:00+00,LONG,1927,0.6599262558458262,0.151051,-0.001475704
2005-11-04 00:00:00+00,LONG,2247,0.9512195121951219,0.12403106,-0.01575148
2005-11-04 00:00:00+00,LONG,2352,0.771591778630489,0.118630186,-0.020423515
2005-11-04 00:00:00+00,LONG,1673,0.36136635499028114,0.15106156,-0.003376317
2005-11-07 00:00:00+00,LONG,2247,0.9268292682926829,0.13513501,-0.020904863
2005-11-08 00:00:00+00,LONG,4176,0.4659349036652937,0.1419608,-0.020699438
